dong_code,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count
11160530,3301,13836,4599,3390,586
11160540,4228,19057,9025,18959,2240
11160550,5280,23276,6929,3899,1104
11160570,3036,12009,4118,2555,678
11160580,3169,13587,5780,4000,1052
11160590,2805,13572,5297,3772,1253
11160610,3203,16025,5672,10677,1579
11160630,3386,16578,6032,3942,1057
11160640,3971,25122,4713,56169,5561
11160650,1101,8489,5462,3283,533
11160660,1547,9701,4838,7178,708
11160670,9041,22643,6664,19413,3000
11160690,4523,17347,5502,35996,1806
11160700,9044,27085,9227,10531,2153
11160710,2866,14285,6565,12485,1785
11160720,3231,14165,6915,4453,609
11160730,5950,35712,11758,10395,2607
11160740,9793,26709,8076,7719,1402
11170510,7431,22800,6618,14957,2620
11170520,4118,13705,3798,3427,552
11170540,3059,16581,4640,92259,7763
11170550,2254,12773,5884,5895,1984
11170560,3810,19630,6372,25206,3154
11170610,3584,14144,5978,9875,2298
11170620,4505,16897,6932,3899,1182
11170640,5093,18885,8545,3059,910
11170650,2996,12774,5730,7162,791
11170670,2644,14592,5327,4614,1008
11170690,3827,14699,5997,5889,948
11170700,634,5841,2875,3116,930
11170710,2614,15077,7622,27882,7402
11170720,4736,19446,8538,5167,1381
11170730,10775,30902,10982,8692,1264
11180510,1564,15769,3694,170646,16423
11180520,5678,27788,7955,24871,3667
11180530,2352,12208,4884,3312,952
11180540,2697,16046,6418,6254,1841
11180550,1814,10108,4074,2993,857
11180570,4562,21297,8476,15424,2774
11180580,4012,12921,5608,1748,390
11180590,1387,6717,3256,9900,2984
11180600,2902,12790,5668,1762,581
11180610,2583,11804,5778,3340,911
11190540,5979,20044,8199,160524,8097
11190550,2377,13923,4689,19152,3025
11190560,4997,24535,6351,22840,2182
11190610,2444,12118,3338,22882,1881
11190620,3522,15300,3719,19787,2044
11190630,1678,11500,4486,5178,991
11190650,2515,10476,4344,2303,765
11190660,971,5349,2657,1368,338
11190670,1102,5322,2631,2476,446
11190680,2312,11405,4481,4769,1096
11190690,3199,10543,3113,2873,561
11190700,1365,7748,3772,4431,977
11190710,1207,7752,3714,4461,1305
11190720,3019,14666,6045,9931,2012
11190730,3023,13294,5633,5223,1266
11190740,2196,19179,5075,34349,5849
11190750,2151,12022,4463,2814,860
11190760,6249,19157,6329,44563,5195
11200520,1026,8060,3698,7727,1654
11200530,6688,29543,9588,8612,1556
11200540,4451,18256,6165,5174,1275
11200550,3241,16446,5939,3277,811
11200560,3967,18727,6774,2848,751
11200630,1911,16186,5266,9688,1663
11200650,3962,15660,6122,3899,803
11200660,1629,9498,3587,1840,546
11200670,1854,8068,2838,1541,414
11200680,7009,25026,7690,11511,1513
11200690,4358,14394,5142,4113,938
11200700,3352,12962,4105,18988,1134
11200710,4710,20332,7735,10195,1428
11200720,4207,20183,7812,8051,1691
11200730,3682,16944,7170,6591,1512
11210520,2977,16077,6093,6422,1232
11210540,2721,9718,3705,1303,369
11210570,2757,20866,5903,6763,1290
11210580,1687,12528,2661,7803,1245
11210610,1173,11060,3225,5433,882
11210620,3075,18295,5333,3458,933
11210630,2054,12882,3844,4892,807
11210640,1723,16905,4566,7352,1172
11210650,1621,12545,4344,2297,755
11210660,2100,16814,4813,2882,752
