행정동코드,행정동명,행정동총면적_m2,주거용지면적_m2,상업업무용지면적_m2,공공시설용지면적_m2,주거용지비율,상업업무용지비율,공공시설용지비율
11080600,안암동,1378526.3863605345,21513557.18773049,8940066.820037112,13128219.366554549,15.606199054723003,6.48523445651258,9.523371838543136
11080610,보문동,552588.386634134,18078592.66070536,5332377.949246566,2173625.315879678,32.71620087932667,9.649819066460234,3.9335341973424867
11080620,정릉1동,411654.233031389,13239061.48803678,2203454.7883124533,812188.9372753174,32.16063488657795,5.352683420953521,1.972988183054557
11080630,정릉2동,1094064.485333524,29003459.69050157,3733788.5873889993,2778980.804743054,26.509826504111327,3.412768294229713,2.54005211027016
11080640,정릉3동,3324627.606889553,31693439.68188711,4095554.045224227,9132198.574277692,9.53292922678302,1.231883545915669,2.7468335266642305
11080650,정릉4동,3568232.306668583,24220452.97891735,3821794.9527135724,5001099.501390859,6.787801605196033,1.0710611373511507,1.401562194267572
11080660,길음1동,796710.2780428466,12613988.143002639,3147412.3444397706,3991175.8682161984,15.832591207420405,3.9505105320989777,5.009569950598221
11080680,길음2동,587556.5427815143,12677203.106533086,7507595.763873507,740246.5269575778,21.57614150038861,12.77765664617106,1.259872834456448
11080710,월곡1동,801148.5144281337,15729821.885350034,7708650.060250469,3462896.962538802,19.634089812396528,9.621998819723164,4.32241575709673
11080720,월곡2동,1363862.6449986238,19367211.33708874,8262152.601132819,7476049.407567826,14.200265259928932,6.057906660491575,5.481526629520211
11080760,장위1동,708007.1947546556,35002489.36887425,6518795.702677241,1887830.7006498845,49.43804191284186,9.207244998316982,2.666400447108551
11080770,장위2동,679375.7924119356,30720488.656494338,11495768.16885481,2104158.6194840237,45.21869780998488,16.92107416433292,3.097193987459858
11080780,장위3동,652103.7834481776,17310307.779921725,6519050.375751972,1537354.0480329145,26.545326402476498,9.99695223554862,2.3575297169780756
11080810,성북동,2877749.923628326,54694003.13342846,7269543.1740356935,6380288.648421882,19.00582211273909,2.526120534083832,2.2171101790448433
11080820,삼선동,925528.3519526154,32750592.92694037,7253430.517660037,5571748.614018383,35.385834326787986,7.8370700393534705,6.020073401601901
11080830,동선동,724236.3137330249,22283179.782135684,9567975.128904887,5510421.845871876,30.767830001893454,13.211123147895519,7.608596450333726
11080840,종암동,1403462.327063302,29928684.676460877,12192142.28661863,4683533.182171529,21.324893514659312,8.68718885538615,3.3371278244223808
11080850,석관동,1703758.6633156778,35036162.459591225,14979879.562749708,7246208.796279827,20.564040678981783,8.792254375744406,4.253072311414112
11090600,번1동,626560.6523036485,22679105.908781555,10749204.586092522,2142535.100777836,36.19618599635688,17.155888335105924,3.4195174767206806
11090610,번2동,973558.5116256434,15462905.275630958,2962550.2160219066,2730546.9605012997,15.882872052354688,3.043011981966091,2.8047076040060968
11090620,번3동,1080354.8515131683,6310254.364707637,2498798.4255766138,2774611.9726857273,5.840908990105759,2.3129422912080626,2.5682413225613288
11090630,수유1동,1648718.7929156155,29186219.896256026,9343578.19652668,4726701.278595683,17.702363812231884,5.667175164542995,2.8668935532886866
11090640,수유2동,581177.02928687,21963176.19743356,8004990.371131798,2140288.9432761306,37.79085388901786,13.773755616174777,3.682679864175568
11090650,수유3동,745080.9524737196,29740601.05377793,15207251.223583262,2047531.4228747075,39.91593256415575,20.410199956251937,2.748065718331362
11090690,삼양동,923394.3216598168,35213462.16213787,5454007.559104217,3080317.044827318,38.13480474824784,5.906477255892745,3.335863100490369
11090700,미아동,840567.7338097914,25572099.67549006,10178197.804959683,3764054.427947054,30.422414098132233,12.10871818601458,4.477990620561705
11090710,송중동,1074979.9840741851,34883163.76094265,12452414.404099723,3872238.47780679,32.45005886410564,11.58385699136922,3.6021493750339113
11090720,송천동,929209.3075045171,42034092.29104205,12016131.43257947,3675406.5059182723,45.23640901093504,12.93156594056292,3.955412926059617
11090730,삼각산동,621441.3168800542,8785051.18833867,1677746.207340946,2099447.780460343,14.136574041204753,2.6997661110852267,3.3783524259388154
11090740,우이동,10579790.15684463,31812600.249076176,10758110.19384293,4408566.684051385,3.0069216664467495,1.016854780137859,0.4166969872459378
11090750,인수동,2995754.9505094797,43723876.628933825,11492626.706854694,6716878.402053578,14.59527810226862,3.8363040024018566,2.2421321212909144
11100510,쌍문1동,1174885.560468361,25825526.859497853,4833776.864462768,6406562.8313750755,21.981312672872296,4.114253359736425,5.452924988559003
11100520,쌍문2동,540781.8048788009,15681686.83763821,5729359.252213441,1699645.9076285714,28.998177631277304,10.594585839472716,3.14294211139277
11100530,쌍문3동,504422.9298473836,17090925.88661535,6307145.893660427,1885620.6348511628,33.88213515945106,12.50368593586476,3.7381739077992937
11100540,쌍문4동,554447.0182321169,6970067.475833005,891923.5970209537,1852643.1363336907,12.571205627649377,1.608672366685095,3.341425015217756
11100550,방학1동,1040065.5393087548,19579039.318414204,12730742.773632642,5246502.1072928645,18.824813031904476,12.240327452915812,5.0443956741224
11100560,방학2동,1091985.6081384963,24771517.17124191,6691969.501551697,2359682.0471533895,22.684838505765494,6.128257965743223,2.1609094749663695
11100570,방학3동,1949549.809847569,9500348.298594847,2945427.1437587948,2362337.9339716043,4.873098522852134,1.510824257416173,1.2117351000928314
11100590,창1동,1121318.0350163437,13960787.28384448,4739530.728302036,2888873.735501526,12.45033687845839,4.22674975367979,2.5763196927974312
11100600,창2동,653945.3199284887,21868817.898182463,8287272.485533571,1880225.8739632787,33.44135546466469,12.672730017304527,2.8752035019822273
11100610,창3동,654987.2585619986,17004269.39355083,5789468.256756175,2110932.01352795,25.961221644040993,8.839054777136807,3.2228596601442696
11100620,창4동,1139307.1425799911,6802821.39580284,7012460.133590482,3441011.519163983,5.971016191821348,6.155021654398287,3.0202667836977843
11100630,창5동,700942.9110056368,9681924.276470011,8877025.465885315,2590282.2469450836,13.812714451422924,12.664405797541376,3.6954254137884464
11100640,도봉1동,8445069.216864066,26921491.679390892,11922168.985837176,6121971.539631182,3.187835527224694,1.411731352305514,0.724916680067718
11100650,도봉2동,1118179.2149436572,12667219.24891523,7527537.2350186845,5335264.256858769,11.328433832096858,6.731959541385307,4.77138564691314
11110510,월계1동,1140714.9239171862,16752250.387502886,8368810.17259762,4666908.549235056,14.685746663133049,7.33646066789355,4.091213721662386
11110520,월계2동,2003257.4518270672,9671800.993433438,2281343.5672407034,6344068.576829183,4.828036947828293,1.1388169629220688,3.1668763148955654
11110530,월계3동,1133290.9990217355,7882789.162315897,6573989.034977686,2430184.8102195463,6.955662022481758,5.80079524204498,2.144360814933939
11110560,공릉2동,6978055.84259063,23469989.836612202,10648688.56478454,20901763.421085957,3.3633995436612727,1.526025128631125,2.995356284412608
11110580,하계1동,1525890.4777610328,10811977.274977656,5992222.150569539,10322868.811128167,7.085683692608312,3.9270329279215614,6.765144000554419
11110590,하계2동,499641.4303040422,5632640.120045038,562142.077473208,1886810.0496515068,11.273364814077686,1.1250910020234568,3.77632825305008
11110600,중계본동,2181556.3382772817,20805087.312412128,4843338.890188338,3791259.2974845627,9.536809546179937,2.2201300994192965,1.7378690758352917
11110610,중계1동,622972.9598422882,6487088.660129652,2890045.2767261057,2834598.112383041,10.413114337694406,4.639118329401889,4.550114202550056
11110640,중계4동,1518104.798449378,6331474.595150379,3318099.989215288,3441210.292535707,4.17064395133819,2.1856857264429044,2.2667804594588112
11110650,상계1동,5398483.701445269,17184348.036515456,10579418.985323373,7598423.590108002,3.1831804978710787,1.9597019404710023,1.4075107030653384
11110660,상계2동,622648.9470855747,10798965.12549596,12819469.684879247,3231843.7105356306,17.343585299617935,20.58859931408088,5.19047486655664
11110690,상계5동,906196.8807098538,17595524.304102376,8126552.310625179,2437464.149501521,19.416889065342204,8.967755775388879,2.6897732726603243
11110720,상계8동,665840.2223766204,5595261.224834074,985227.697643437,3103284.494894083,8.403309137532423,1.4796758509523638,4.660704461225484
11110730,상계9동,718895.6152777761,5268233.700171444,1269773.784642572,2333738.91789837,7.328231788054286,1.7662839467339644,3.246283421824224
11110740,상계10동,808596.8881865293,3847272.991215894,3722468.4710904355,2307155.2705673478,4.757961658551912,4.603614638486868,2.853282401001681
11110760,상계3·4동,5207882.552876804,30191293.344756223,8414929.72000196,3939095.7952975635,5.797230071572702,1.6158063540341558,0.7563718565660875
11110770,상계6·7동,1449188.0867129304,10306800.527862381,6580717.756920966,9077925.314289138,7.112120657326419,4.540968710174431,6.26414569476611
11110780,중계2·3동,918380.4956780896,9081306.388150008,2549524.292265025,5058127.305709712,9.888392045439502,2.7761089268153225,5.507659765765197
11110790,공릉1동,1262293.2058036237,22493108.54525639,14959994.965481985,3949016.4496772382,17.819242345471096,11.851442197977994,3.1284462528364356
11120510,녹번동,1792888.489674982,37786410.97027455,8778275.935234994,6053251.580478999,21.075717306392292,4.89616391972394,3.376256591159411
11120520,불광1동,3122614.023352136,41552495.26256053,6221912.519002139,4608995.829661702,13.306958513544943,1.992533330239418,1.4760056142686282
11120550,갈현1동,960364.3933502928,35352292.20549742,8085591.455112769,1638535.3858484912,36.81133166773154,8.419295333207497,1.7061600754817194
11120560,갈현2동,984441.1117190326,32667674.137536913,10812489.603693364,4569681.057437626,33.18397997468083,10.983378766874717,4.64190392197055
11120570,구산동,1388754.7637064273,32978533.1377276,6238087.091551854,5184028.433969595,23.74683709434175,4.4918564850882055,3.732860955330959
11120580,대조동,851064.6931701804,38726680.77790373,14028887.04532711,2837924.190203806,45.5038037515673,16.483925555729602,3.3345575406643375
11120590,응암1동,1109043.8321867322,21065146.62059408,9645165.848661935,3274168.555096051,18.993971211272463,8.696830160124778,2.9522445011395835
11120600,응암2동,754690.319204595,13231674.527838917,3145442.2766559925,813345.944744922,17.532588124072433,4.16785825472245,1.07772144951077
11120650,신사1동,807720.0252850907,24494672.544192214,5550955.658648652,1747743.7442660655,30.325696748135766,6.872375928391031,2.1637989520554313
11120660,신사2동,1045454.2596176866,21645557.411691185,3536629.424753657,2414781.5756024504,20.704451880665516,3.382863852931233,2.309791703833618
11120670,증산동,807136.3723603964,19379793.554629464,6053360.757797269,1723511.6303739545,24.010556602665584,7.4997992471764965,2.1353412996786436
11120680,수색동,1288994.080472962,17699947.0896902,7488582.120775667,1735851.6208095956,13.731596876841884,5.809632669552626,1.3466715224733004
11120710,진관동,11556755.591425097,35345536.756514974,11912813.55104605,10896618.07404392,3.05843075739533,1.0308095084995257,0.9428786468521506
11120720,불광2동,1395058.3164333142,42129349.1573856,5435120.010578777,4315626.402111787,30.198987856719786,3.895980509599423,3.0935096771763377
11120730,응암3동,752218.7382589733,23179267.69672067,9968993.125610434,2784336.940402687,30.81453109021133,13.252784886326928,3.7014990438115056
11120740,역촌동,1156690.8217913862,53174722.526082784,14546014.472426804,3422732.7080697124,45.97142254810167,12.575542399393427,2.959073110625076
11130520,천연동,982085.8037135936,10213308.990464937,3776258.735615462,2874632.242403018,10.399609638837068,3.8451413525540943,2.9270683188099
11130620,홍제1동,1234716.3205751714,21803107.710351888,5546238.356076155,1768507.9599397662,17.658394359115043,4.491913052135356,1.4323192546089754
11130640,홍제3동,1191622.6020923266,17870780.689190507,6392422.494124023,2893747.9161976376,14.997013868159144,5.364468987832055,2.4284097256267305
11130650,홍제2동,699457.7423128673,9033329.364412311,1761829.5018408769,631082.6162514033,12.914760703830632,2.51885052557301,0.9022455226024508
11130660,홍은1동,1613942.233830091,23795473.35311785,3860119.5511176875,1496095.1729140861,14.743695811620315,2.391733402971388,0.9269818594211152
11130680,홍은2동,2073551.3296412888,38351232.65998671,9488598.126929898,4089542.339773153,18.495434432588283,4.57601313808391,1.972240706710944
11130690,남가좌1동,475186.4455984536,4634553.101449608,4622850.996869446,1112861.6649413903,9.753125629694287,9.728499286311482,2.3419474087478305
11130700,남가좌2동,783220.5066193886,17656368.87223332,6526255.526790611,2794308.3574841074,22.54329237170185,8.332590211356775,3.5677160312683447
11130710,북가좌1동,577555.0412676766,10208281.810414948,2043457.406471103,1496129.9401988345,17.674993863803476,3.5381171671290663,2.5904543001044127
11130720,북가좌2동,824237.078308568,31407516.220399827,6473779.74743971,1226398.6442034326,38.10495432315635,7.854269017749933,1.4879197702682192
11130730,충현동,1115171.262562828,28586284.073173333,9867816.718131244,3862906.7883104854,25.63398558843584,8.848700687868828,3.4639583335683852
