행정구역코드,아파트비율_퍼센트
31011580,14.3
31011590,41.03
31011600,49.53
31011610,36.19
31011620,97.79
31011630,99.56
31012520,69.11
31012530,18.77
31012540,26.46
31012550,78.73
31012560,32.97
31012570,63.79
31012600,49.29
31012610,86.72
31012620,93.24
31012640,97.45
31012650,96.39
31012660,92.66
31013530,13.76
31013540,43.79
31013550,87.0
31013560,71.39
31013670,84.11
31013680,45.54
31013690,65.4
31013700,41.75
31013710,94.23
31013720,1.49
31014510,73.29
31014520,62.91
31014530,89.87
31014540,89.29
31014600,90.39
31014620,87.6
31014630,98.42
31014640,98.78
31014650,95.53
31014660,94.42
31014670,93.61
31014680,96.39
31021510,8.04
31021520,95.33
31021530,8.53
31021540,17.19
31021550,16.38
31021560,17.87
31021570,25.36
31021580,3.1
31021590,46.13
31021600,57.08
31021610,0.0
31021620,21.13
31021640,61.48
31021650,88.68
31021660,21.84
31021670,0.0
31021680,95.74
31022510,41.06
31022530,90.22
31022540,41.36
31022550,33.4
31022560,27.17
31022570,54.1
31022580,9.99
31022590,1.58
31022600,65.09
31022610,93.03
31022620,74.48
31023510,70.02
31023520,87.85
31023530,100.0
31023540,100.0
31023550,100.0
31023560,93.45
31023580,90.68
31023590,89.11
31023600,88.45
31023610,100.0
31023620,96.27
31023630,68.13
31023640,97.72
31023670,86.16
31023680,79.48
31023710,85.23
31023720,75.48
31023740,100.0
31023750,81.81
31023760,97.02
31023770,100.0
31023780,76.93
31030520,41.04
31030550,67.67
31030560,98.14
31030570,85.23
31030580,92.8
31030590,91.04
31030600,69.58
31030640,78.86
31030650,85.69
31030670,38.2
31030680,37.57
31030690,68.81
31030700,95.22
31030710,98.13
31041510,95.5
31041520,56.51
31041530,37.91
31041540,57.3
31041550,43.99
31041560,64.3
31041570,94.4
31041580,14.57
31041590,59.62
31041600,76.71
31041610,62.37
31041620,39.08
31041630,41.68
31041640,85.06
31042510,99.39
31042520,98.78
31042530,54.28
31042540,100.0
31042550,100.0
31042560,47.99
31042570,61.69
31042580,100.0
31042590,95.29
31042600,100.0
31042610,94.63
31042620,96.84
31042630,88.87
31042640,93.38
31042650,100.0
31042660,96.42
31042670,89.7
31050870,26.0
31050880,37.91
31050890,58.76
31050900,93.21
31050910,96.4
31050920,52.59
31050930,58.92
31050940,81.15
31050950,34.35
31050960,39.38
31060520,3.85
31060530,0.0
31060540,61.57
31060550,37.9
31060560,73.24
31060570,68.44
31060580,99.68
31060590,2.19
31060600,99.29
31060610,99.51
31060620,92.92
31060630,100.0
31060640,100.0
31060650,100.0
31060660,94.4
31060680,0.0
31060690,61.21
31060700,97.23
31070110,33.65
31070120,75.15
31070130,61.64
31070140,76.07
31070310,44.31
31070320,0.0
31070330,65.59
31070340,5.41
31070370,34.43
31070510,83.24
31070520,36.54
31070530,87.35
31070550,56.17
31070560,64.47
31070570,30.02
31070580,18.23
31070590,56.36
31070600,69.02
31070610,61.71
31070640,89.45
31070650,86.93
31070660,72.18
31070670,84.98
31070680,94.25
31070690,93.44
31080510,45.59
31080520,75.44
31080530,8.86
31080550,17.56
31080560,59.77
31080580,18.5
31080600,37.42
31080610,88.58
31091510,0.11
31091540,1.43
31091550,53.36
31091560,62.24
31091570,0.24
31091580,38.79
31091620,96.36
31091710,62.45
31091730,22.73
31091740,10.04
31091760,31.27
31091770,55.71
31091780,90.3
31092590,4.44
31092660,96.71
31092680,88.75
31092690,45.41
31092700,74.96
31092720,0.0
31092730,96.88
31092740,15.15
31092750,91.83
31092760,0.0
31092770,87.05
31092780,86.94
31101510,36.44
31101520,94.25
31101530,92.47
31101540,75.65
31101550,96.79
31101560,91.82
31101580,51.32
31101590,57.9
31101600,19.87
31101610,72.13
31101620,95.33
31101630,99.92
31101640,35.01
31101650,93.28
31101660,96.55
31101670,86.89
31101680,88.57
31101690,86.67
31101700,75.47
31103510,82.58
31103520,90.63
31103530,0.0
31103540,81.28
31103550,86.47
31103560,72.71
31103570,100.0
31103580,93.1
31103590,100.0
31103600,20.56
31103610,87.61
31104510,94.1
31104520,81.55
31104530,100.0
31104540,98.34
31104550,100.0
31104560,100.0
31104570,59.6
31104580,80.84
31104590,72.47
31110510,86.88
31110520,97.65
31110530,85.18
