권역 존체계_읍면동,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
13,26.763095587684713,16.36238248253178,25.583441020634858,14.289348556137217,35.162038863538854,52.69129968755478,40.43247604448311,0.6117605278266649,1.989059756611634,1.017595547824442,2.6387988519556207,1.1431349920335905,0.0,0.7692543398340831,2.074650711693123,1.941186560483355,4.027386866177723,6.538318576396251,10.597869130897307,452.64793587042453,8.41919503437174,6.575020505806551,9.889806131838426,8.234044847040424,6.167642160932276,4.19548773691425,38.33093168521004,24.61134454104509,33.81158003891289,29.3316603210275,27.756594308761606,30.613595378989817,29.841692162733803,395.80191164039513,29.87932349335394,29.26556450431413,23.22280866437556,24.540405899140904,23.91132022627202,26.27679496068022,25.558805740405564,24.572085207352995,28.63853529687802
14,25.996292543795683,15.595999110402655,26.157567962867013,14.721186882806471,34.3933845148334,52.93642030501547,41.02536837546341,1.3055930427613704,2.4646940108766513,1.2460805112013675,2.552370424297383,0.7884519171551649,0.7692543398340831,0.0,1.4569605370896976,2.6618263016610917,4.594610178065403,7.167243385336599,10.80098839404927,453.1538710322769,7.926107461106307,5.918361055839077,9.204617934813133,7.494227142544323,5.451262824802594,3.497144437929892,37.57217694284354,24.548321315708133,34.23872700096362,28.59954623936505,27.994832847198072,30.27670360863853,29.453552513130873,396.35543155294084,29.465792909187897,28.98488911982808,22.88650850974468,24.144356510407324,23.476664886363476,25.802346207066723,25.019748038089197,23.9562477752302,27.96146567026672
15,24.901035268230327,14.69990264746456,27.61169961777052,16.158907091845077,33.33448896340815,52.31748967929648,42.47562710047877,2.681058031587034,3.921626389043435,2.693168262645712,3.750935873660907,2.0576591712205246,2.074650711693123,1.4569605370896976,0.0,4.011155065362934,6.046123758109207,8.599924641616285,12.108007254460164,453.0629521215879,8.233312192554427,5.796271667491113,8.886912691782195,6.247419949060994,4.137007862526852,2.1528337771487536,36.743235566376136,25.528336204159565,35.67045346464407,27.966911124217614,29.307247752706857,30.793932961369848,29.867984977671004,396.38927065777176,29.82588483120098,29.610546523105487,23.41948054865156,24.5526764165348,23.80252875037175,26.030617848749948,25.0866995186959,23.80218474733827,27.58406460330662
16,28.598892688736413,18.08507543354303,23.74660663634586,12.70490632167735,36.970214044714474,52.92790608611272,38.56811968154978,1.356318535879188,1.2132668365952792,1.8334371032551862,3.012887215822362,2.6013717364679323,1.941186560483355,2.6618263016610917,4.011155065362934,0.0,2.3416991174627686,4.666439545352731,9.542644781544974,452.08588865956784,9.199168802180912,7.880181870324416,11.233090398931527,10.155921614291868,8.105022043619547,6.13612466437477,39.963630961126654,24.06435093814403,32.194578075327904,30.806286945867985,26.51214506797519,30.758862381624724,30.13333095862377,395.083892170545,30.243922332109147,29.260925189571857,23.392755146847236,24.8723609994265,24.357311657226674,26.832063710212978,26.315896693666573,25.586227992822927,29.87001595831007
17,29.896261417975893,19.158861981665098,21.56641389903049,10.365355671525466,38.169383140326275,54.69081056716791,36.43076496995,3.4222309336445633,2.1520010640205647,3.410256429054552,3.48799406519405,4.195757812118492,4.027386866177723,4.594610178065403,6.046123758109207,2.3416991174627686,0.0,2.637307982703754,7.421035164295468,453.0154085003184,9.065288469742582,8.518238002188959,11.77055849827108,11.870904947002112,9.944549860786061,8.049495395205565,40.75012853999999,22.209316003415168,29.86419858700144,31.324039212830343,24.224262044477975,29.518033608052743,29.052036432866466,395.82873080501054,29.243049860557132,27.873619402110368,22.22003036178905,23.866262870698602,23.485096885240047,26.071098170743774,25.807204385604194,25.423901887504922,29.99692953167388
18,32.465821521310616,21.674053859321624,19.081820651604573,8.450866517310748,40.70151746928623,55.15388398564151,33.90395504967833,5.926719263013852,4.771509637581426,6.023427223523349,6.055764411324795,6.8208080792368575,6.538318576396251,7.167243385336599,8.599924641616285,4.666439545352731,2.637307982703754,0.0,6.952230708480901,452.2349975652269,11.088054079037951,10.956930684623334,14.112116029902019,14.506922668354242,12.566048499285424,10.65138444632056,43.098121501413324,21.920222402189864,27.746316008027083,33.537267459667106,22.76551697431114,30.12403949325396,29.861881256994558,394.8403370592243,30.147543270480856,28.29289101843387,22.975874119132488,24.806781082100095,24.580801922407204,27.264486893059416,27.254708743381688,27.179355525013403,31.953741142810426
19,31.6576051041835,20.764961071574557,17.870388262555288,5.578818789742691,39.35104522375692,61.97542602672255,32.56562689103421,10.125431917939308,8.710394757963074,9.624012125181412,8.364717288746572,10.072639943294673,10.597869130897307,10.80098839404927,12.108007254460164,9.542644781544974,7.421035164295468,6.952230708480901,0.0,458.89788732560413,9.022387382500051,10.791925257088577,12.808934727335414,16.226434958116926,14.906417126240834,13.488548231569153,40.46334548520485,14.984014848110768,24.115657290901385,30.425530263068477,17.19989645450151,23.49403931963339,23.448137044477978,401.31717660418684,23.84943185667622,21.523487680091307,16.58520872976099,18.63382944513608,18.6580249125008,21.455232787890775,21.95138338702865,22.6478243417586,27.908602968265736
20,469.08932575563284,464.54197639116717,453.90848514067926,456.79993150391147,475.49345259007566,404.6303121396265,453.63290360585347,452.6186587005075,453.29900760121603,453.44631238412893,455.0163278668547,453.78588716422905,452.64793587042453,453.1538710322769,453.0629521215879,452.08588865956784,453.0154085003184,452.2349975652269,458.89788732560413,0.0,461.06628829560265,458.8580989819818,461.77385847970527,456.30940115147587,454.9009265758482,454.00332685037205,482.82896657392246,472.90154809954413,462.95592226275846,477.96175306034496,467.7995230412484,482.35160614345455,482.0516763822142,67.35264166504297,482.2581382491161,480.41583443723306,475.18513812173734,476.88046544024627,476.4381547656373,478.9039455420494,478.1472681778362,476.65507908845507,479.50398042731035
21,22.65952883169742,11.745887464665003,26.878699607363902,14.558205614920537,30.48463196494638,60.49410355138368,41.58351976369184,8.479615625381426,8.024663347950328,7.657387002814702,6.186754911078781,7.280407347720294,8.41919503437174,7.926107461106307,8.233312192554427,9.199168802180912,9.065288469742582,11.088054079037951,9.022387382500051,461.06628829560265,0.0,3.0197981395371754,3.7928306124486393,8.73308393912303,8.379680788016124,8.062372101191688,32.19493388421436,18.511334736901212,32.67513059556892,22.48225223219531,24.534676914837785,22.601403468323014,21.635494682881784,404.2002833332924,21.59653266752372,21.534036918324368,15.25429202767092,16.32037743750481,15.581598726147703,17.87645547082028,17.159176384991515,16.42217125658202,20.934678585647962
22,21.635582072178448,10.750844550665143,28.324749331588574,16.06807622164742,29.77890888578702,57.730184819490006,43.17405917711471,6.828695899531686,6.880105724214922,6.091837152517325,5.088695003464546,5.471955302122301,6.575020505806551,5.918361055839077,5.796271667491113,7.880181870324416,8.518238002188959,10.956930684623334,10.791925257088577,458.8580989819818,3.0197981395371754,0.0,3.353139503257814,5.8423578362266575,5.360146869330945,5.189865089608361,32.241157814581065,21.50422444499356,34.846741022691106,22.939699346304085,27.126245052923913,25.412825808705374,24.332561891535782,402.1730750063599,24.22236603780996,24.44754965498492,18.11716381135704,19.03261076847417,18.1809903609901,20.311394384318312,19.29478073193293,18.05783247759408,22.066962252393395
