행정구역코드,아파트비율_퍼센트
23090600,74.32
23090610,68.18
23090620,31.83
23090650,37.75
23090660,7.14
23090670,6.88
23090680,2.98
23090690,41.16
23090700,50.98
23090710,37.18
23090720,58.35
23090730,81.44
23090740,6.52
23090750,38.08
23090760,9.08
23090770,47.23
23310110,12.78
23310310,36.16
23310320,0.0
23310330,2.93
23310340,0.0
23310350,0.0
23310360,0.0
23310370,0.75
23310380,0.0
23310390,0.0
23310400,0.0
23310410,0.0
23310420,0.0
23320310,0.0
23320320,12.48
23320330,21.31
23320340,0.0
23320350,1.52
23320360,0.0
23320370,3.57
31011540,47.9
31011550,71.44
31011560,90.01
31011570,65.67
31011580,13.04
31011590,41.19
31011600,45.8
31011610,21.17
31011620,96.98
31011630,98.26
31012520,71.29
31012530,20.44
31012540,26.43
31012550,76.94
31012560,31.51
31012570,64.76
31012600,40.53
31012610,77.55
31012620,88.89
31012640,97.61
31012650,90.03
31012660,92.63
31013530,13.43
31013540,45.63
31013550,85.41
31013560,50.58
31013670,27.85
31013680,37.81
31013690,6.53
31013700,42.15
31013710,94.0
31013720,1.23
31014510,83.05
31014520,62.38
31014530,89.66
31014540,88.91
31014600,81.22
31014620,58.63
31014630,86.38
31014640,91.46666666666665
31014670,93.955
31021510,7.53
31021520,72.1
31021530,7.38
31021540,15.64
31021550,16.43
31021560,17.02
31021570,24.65
31021580,2.96
31021590,43.36
31021600,56.21
31021610,1.49
31021620,21.08
31021640,57.53
31021650,83.14
31021660,0.0
31021670,0.0
31021680,88.21
31022510,29.92
31022530,56.65
31022540,32.56
31022550,33.48
31022560,27.37
31022570,50.36
31022580,3.62
31022590,1.56
31022600,63.74
31022610,84.92
31022620,46.92
31023510,69.54
31023520,87.53
31023530,60.44
31023540,100.0
31023550,100.0
31023560,88.85
31023580,72.46
31023590,88.98
31023600,89.33
31023610,99.73
31023620,74.67
31023630,61.54
31023640,92.1
31023670,73.9
31023680,67.15
31023710,66.97
31023720,61.07
31023740,88.83
31023750,76.99
31023760,88.56
31023770,47.4
31023780,83.34
31030520,33.07
31030550,64.81
31030560,97.36
31030570,82.2
31030580,90.62
31030590,40.735
31030600,67.97
31030640,75.67
31030650,85.79
31030670,20.65
31030680,37.05
31030690,43.08
31030700,96.74000000000001
31041510,89.92
31041520,40.29
31041530,38.95
31041540,46.43
31041550,32.88
31041560,40.74
31041570,92.29
31041580,11.43
31041590,60.74
31041600,77.51
31041610,60.25
31041620,38.65
31041630,42.1
31041640,84.87
31042510,95.2
31042520,98.15
31042530,44.72
31042540,99.44
31042550,96.72
31042560,45.86
31042570,57.23
31042580,64.78
31042590,93.59
31042600,100.0
31042610,94.12
31042620,80.26
31042630,75.17
31042640,89.61
31042650,94.57
31042660,96.23
31042670,89.54
31050870,15.95
31050880,34.604
31050890,50.09
31050900,78.424
31050910,88.50333333333333
31050920,44.535
31050930,49.739999999999995
31050940,75.0425
31050950,28.986666666666668
31050960,35.085
31060510,0.67
31060520,1.12
31060530,0.0
31060540,34.5
31060550,31.26
31060560,53.99
31060570,40.96
31060580,82.62
31060590,71.59
31060600,91.96
31060610,76.36
31060620,91.33
31060630,100.0
31060640,99.78
31060650,99.85
31060660,83.88
31060680,0.0
31060690,57.985
31070110,30.45
31070120,72.81
31070130,55.85
31070140,68.9
31070310,42.87
31070320,0.0
31070330,61.040000000000006
31070340,4.72
31070370,13.96
31070510,80.81
31070520,26.82
31070530,76.85
31070550,49.44
31070560,65.0
31070570,21.46
31070580,14.24
31070590,56.26
31070600,57.74
31070610,40.15
31070640,82.04
31070650,81.045
31070670,88.63
31080510,45.55
31080520,68.93
31080530,2.64
31080550,16.47
31080560,61.31
31080580,19.18
31080600,30.77
31080610,87.01
31091510,0.35
31091540,1.53
31091550,55.14
31091560,59.56
31091570,0.26
31091580,39.48
31091620,95.64
31091710,60.05
31091730,21.18
31091740,9.76
31091760,32.51
31091770,54.03
31091780,81.16
31092590,0.4
31092660,84.26
31092680,78.55
31092690,30.03
31092700,74.05
31092720,0.0
31092730,89.47
31092740,12.84
31092750,68.97
31092760,38.93
31092780,80.01
31101510,38.16
31101520,94.68
31101530,90.745
31101540,66.88
31101550,96.45
31101560,58.89
31101580,31.57
31101590,56.93
31101600,20.77
31101610,64.24
31101620,89.77
31101630,88.72
31101640,28.03
31101650,90.95
31101660,91.01
31101670,81.8
31101680,24.97
31101690,84.965
31101700,38.27
31103510,80.88
31103520,89.97
31103530,0.0
31103540,82.32
31103550,75.42
31103560,72.51
31103570,98.08
31103580,53.94
31103590,26.25
31103600,19.02
31103610,30.47
31104510,94.24
31104520,77.74
31104530,99.93
31104540,96.0
31104550,97.38
31104560,98.57
31104570,46.61
31104580,59.76
31104590,72.06
31110510,73.66
31110520,47.31
31110530,86.04
31110540,84.87
31110550,7.04
31110560,0.0
31120510,90.25
31120520,91.04
31120530,73.31
31120540,17.73
31120550,93.51
31120560,50.23
31120570,41.92
31120580,92.26
31130110,79.13
31130120,74.54
31130130,56.55
31130140,51.74
31130150,84.43
31130160,67.76
31130310,81.43
31130340,0.0
31130350,0.0
31130510,87.44
31130520,91.15
31130530,46.28
31130540,22.46
31130570,90.72
31130580,91.31
31130590,90.71
31140510,80.49
31140520,82.63499999999999
31140530,41.63
31140540,81.03
31140550,83.35
31140560,94.37
31150510,63.77
31150520,39.0
31150530,68.73
31150540,87.34
31150550,49.79
31150560,86.7
31150590,4.12
31150610,91.9
31150620,61.24
31150640,18.825
31150650,62.28
31150670,95.52
31150680,43.99
31150690,90.46
31150700,93.0
31150710,97.23
31150720,88.14999999999999
31160510,46.93
31160520,88.18
31160540,48.49
31160550,95.25
31160560,25.45
31160570,81.85
31160580,100.0
31160590,100.0
31160600,99.86
31160610,83.96
31160630,57.72
31170510,70.83
31170520,59.8
31170530,88.44
31170540,87.73
31170550,68.86
31170560,79.27
31180510,0.0
31180520,34.25
31180530,90.72
31180540,77.89
31180550,65.25
31180560,72.23
31180590,0.0
31180600,22.04
31180610,94.02
31180620,65.66
31180630,98.01
31180650,74.48
31180660,41.205
31191110,36.56
31191120,17.59
31191130,44.2
31191140,71.88
31191340,1.69
31191350,7.25
31191360,4.6
31191510,55.63
31191530,55.66
31191540,44.56
31191550,73.96000000000001
31192520,76.63
31192540,75.7
31192550,88.27
31192560,90.03
31192570,88.77
31192590,85.86
31192600,85.61
31192610,81.49
31192630,88.84
31192650,83.855
31192670,84.86
31193510,88.05
31193520,94.68
31193530,87.19
31193550,94.38
31193560,77.73
31193580,97.47
31193590,93.87
31193600,91.50999999999999
31193620,88.885
31200110,74.29
31200120,14.91
31200130,13.29
31200150,63.16
31200310,0.0
31200320,22.77
31200350,8.21
31200360,0.93
31200370,6.26
31200390,0.0
31200520,97.05
31200530,44.09
31200540,79.8
31200550,48.574999999999996
31200560,94.72
31200570,97.4
31200580,43.64
31210110,34.82
31210120,62.31
31210310,19.06
31210320,24.73
31210330,13.23
31210340,30.78
31210350,49.11
31210360,0.0
31210370,6.47
31210380,0.0
31210510,33.46
31210520,31.96
31210530,39.62
31210540,87.35
31220110,79.83
31220310,8.63
31220320,49.98
31220330,0.0
31220340,20.92
31220350,52.27
31220360,0.0
31220380,38.16
31220390,15.21
31220400,15.33
31220410,0.0
31220420,0.0
31220510,45.25
31220520,79.06
31220530,73.95
31230110,46.79
31230120,72.87
31230130,60.68
31230340,0.0
31230350,0.0
31230360,0.34
31230530,65.95
31230540,92.8
31230560,93.57
31230600,80.31
31230610,85.48
31230620,98.15
31230630,92.78999999999999
31240120,82.23
31240130,23.26
31240140,78.48
31240150,64.4
31240310,28.78
31240330,16.27
31240350,3.95
31240360,54.86
31240370,0.0
31240380,11.38
31240390,9.92
31240420,1.97
31240430,21.49
31240520,76.93
31240530,79.38
31240540,97.69
31240550,96.97
31240560,84.89
31240570,64.32
31240600,84.94
31240610,76.11
31240620,76.92
31240640,96.21
31240700,91.39500000000001
31250110,30.9325
31250120,42.07
31250140,35.57
31250340,11.11
31250350,0.0
31250360,0.0
31250380,0.0
31250540,52.3
31250550,34.68
31250580,56.135
31260110,62.2
31260310,6.65
31260320,14.14
31260330,34.86
31260340,37.92
31260510,29.22
31260520,92.71
31260530,57.93
31260540,63.31
31260550,92.95
31260560,95.17500000000001
31270110,62.18
31270310,34.66
31270320,1.2
31270330,0.85
