dong_code,dong_name,station_count_준고속철도,행정동전체면적_m2,상업업무지역비율_pct,공공시설지역비율_pct,주거지역비율_pct,station_count_고속철도,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,아파트비율_퍼센트,station_count_지하철,station_count_일반철도
23050640,만수6동,0,1720844.001208112,5.347753471187442,2.258734055779988,4.471951575856539,0,2829,12652,7214,8863,2032,89.02,2,0
23050670,남촌도림동,0,9842225.403807843,2.541633369493967,0.3951503157954143,1.3713606360866488,0,2507,11372,6191,19596,3241,48.94,3,0
23050720,논현1동,0,3814666.731441589,3.4118335922004057,0.986395776922547,3.155128576762397,0,5529,18305,6988,7435,2762,92.45,2,0
23050730,논현2동,0,3262346.0117779886,4.403834000284821,1.1726295167010037,3.425651141480935,0,4638,18931,7844,22643,4264,96.69,6,0
23050740,논현고잔동,0,10973645.463893823,3.6252502329419984,1.6040977471991709,1.09955877825202,0,8876,24104,7008,66665,9579,94.28,8,0
23050750,장수서창동,0,11426856.629676295,1.4346033377671137,0.2106516904596384,1.1719009194916858,0,3203,10336,5439,5349,1468,63.21,3,0
23050760,서창2동,0,2512021.179023965,3.313585940646352,2.0288794367717577,5.012051536460225,0,8820,21759,7445,7149,2060,98.72,0,0
23060510,부평1동,0,1095934.247552803,13.438310165572108,2.6704081239605384,11.085598054772312,0,4134,21882,9025,15012,4446,83.03,6,0
23060520,부평2동,0,2340698.1616515056,1.850357973318258,1.0767113313860397,4.349557710553161,0,1724,8603,4318,1868,767,15.84,5,0
23060530,부평3동,0,975076.5696862468,5.690194607374142,2.831550418630324,11.873452292848826,0,1788,8670,4521,3537,1184,43.61,3,0
23060540,부평4동,0,1052968.3716851927,17.057352147847357,3.4526241470645465,18.11537165158954,0,3990,21971,8555,20261,4458,45.2,6,0
23060550,부평5동,0,808586.6766168202,19.05316473666929,2.508168307501626,20.87819757557596,0,4843,21592,7091,12255,3770,55.38,3,0
23060560,부평6동,0,705636.0939341272,8.264257386854824,3.7596737825656064,12.895866971261928,0,1755,8765,4192,5430,1221,51.52,3,0
23060570,산곡1동,0,2296474.418341861,1.8900318324461705,1.8354475298801551,7.19840221522953,0,2276,8938,3577,2216,606,91.99,1,0
23060580,산곡2동,0,813066.4694772119,8.518884010383877,2.942241420447856,12.64074023529395,0,5401,16917,7286,4413,1469,91.43,1,0
23060590,산곡3동,0,1638378.2652149687,2.71118762000905,1.6811764311063675,7.231730306573852,0,2540,10829,7217,2573,1062,73.66,1,0
23060600,산곡4동,0,691381.2548464547,3.9698443646353776,2.601227289646302,7.535085459351596,0,2422,9573,4650,2354,948,94.12,0,0
23060610,청천1동,0,2085520.817996633,5.550396259311117,0.4288778880891666,2.439666282313618,0,2993,10829,3333,6127,1567,57.19,1,0
23060620,청천2동,0,2817946.364087336,7.497444026107136,1.0233593912962804,5.309236768922236,0,4869,19889,8695,33854,4465,73.01,4,0
23060630,갈산1동,0,1100270.7575942655,7.347321493482157,2.2080775201361496,9.5762359443671,0,1660,9333,4397,9002,2414,40.73,3,0
23060640,갈산2동,0,673671.2985539924,6.083477882294202,3.684287265690105,7.741325360529723,0,2071,9722,5843,2813,1185,96.03,4,0
23060650,삼산1동,0,1967936.7251757188,4.885296780712648,1.7933268139610068,5.784004882310358,0,4960,19194,8522,5536,2041,85.75,0,0
