dong_code,dong_name,station_count_준고속철도,station_count_2023_준고속철도,행정동전체면적_m2_x,상업업무지역비율_pct_x,공공시설지역비율_pct_x,주거지역비율_pct_x,행정동전체면적_m2_y,상업업무지역비율_pct_y,공공시설지역비율_pct_y,주거지역비율_pct_y,station_count_고속철도,station_count_2023_고속철도,pop_0_19_x,pop_20_59_x,pop_60_plus_x,worker_count_x,business_count_x,아파트비율_퍼센트_x,아파트비율_퍼센트_y,station_count_2023_일반철도,station_count_지하철,station_count_2023_지하철,pop_0_19_y,pop_20_59_y,pop_60_plus_y,worker_count_y,business_count_y,station_count_일반철도
31030550,호원1동,0,0,6227405.204741096,1.1511246248345497,0.4227307905057624,12.539325189899763,6227405.204741096,1.1511246248345497,0.4227307905057624,12.539325189899763,0,0,4352,19051,11080,7528,2065,67.67,67.67,0,7,7,4352,19051,11080,7528,2065,0
31030560,장암동,0,0,8963288.564734362,1.1200951571469746,0.0,6.045433692491329,8963288.564734362,1.1200951571469746,0.0,6.045433692491329,0,0,2920,10239,5848,3460,932,98.14,98.14,0,7,7,2920,10239,5848,3460,932,0
31030570,신곡1동,0,0,2957597.223185631,2.524613296900331,0.646900996640405,29.04532588875514,2957597.223185631,2.524613296900331,0.646900996640405,29.04532588875514,0,0,5135,22868,11416,5211,1932,85.23,85.23,0,3,3,5135,22868,11416,5211,1932,0
31030580,신곡2동,0,0,2436233.747528805,0.6330547012769794,0.5473929251818196,22.73899508936217,2436233.747528805,0.6330547012769794,0.5473929251818196,22.73899508936217,0,0,7161,26244,11996,10920,3679,92.8,92.8,0,6,6,7161,26244,11996,10920,3679,0
31030590,송산1동,0,0,16096788.510314316,0.063563643415225,0.1591233557773785,7.630201338978333,16096788.510314316,0.063563643415225,0.1591233557773785,7.630201338978333,0,0,10706,35009,11578,15262,3703,91.04,91.04,0,0,0,10706,35009,11578,15262,3703,0
31030600,자금동,0,0,11853900.158963976,0.7718861573990748,1.399985798973534,6.687952940450434,11853900.158963976,0.7718861573990748,1.399985798973534,6.687952940450434,0,0,3601,14913,7288,13391,2350,69.58,69.58,0,7,7,3601,14913,7288,13391,2350,0
31030640,녹양동,0,0,3827297.2842138344,0.4189294145688024,6.919197084059602,15.69554621387753,3827297.2842138344,0.4189294145688024,6.919197084059602,15.69554621387753,0,0,2884,11393,5875,5173,1411,78.86,78.86,0,1,1,2884,11393,5875,5173,1411,0
31030650,호원2동,0,0,4496387.804472654,0.8338322767155592,0.0,12.514873351697522,4496387.804472654,0.8338322767155592,0.0,12.514873351697522,0,0,4742,18372,9906,6004,1995,85.69,85.69,0,4,4,4742,18372,9906,6004,1995,0
31030670,흥선동,0,0,6633189.77701797,0.0326843188895906,0.0,10.843483856547596,6633189.77701797,0.0326843188895906,0.0,10.843483856547596,0,0,2610,11038,5720,5153,1406,38.2,38.2,0,4,4,2610,11038,5720,5153,1406,0
31030680,가능동,0,0,3310318.108510639,1.7662903119079614,8.7169192534533,21.921364840771684,3310318.108510639,1.7662903119079614,8.7169192534533,21.921364840771684,0,0,2956,13883,7421,6449,2125,37.57,37.57,0,3,3,2956,13883,7421,6449,2125,0
31030690,의정부1동,0,0,1944041.1435459757,13.773966250697484,2.2645077979663553,47.262704077579826,1944041.1435459757,13.773966250697484,2.2645077979663553,47.262704077579826,0,0,3973,25474,9519,19314,6524,68.81,68.81,0,10,10,3973,25474,9519,19314,6524,0
