dong_code,dong_name,station_count_지하철,행정동전체면적_m2,주거지역비율_pct,상업업무지역비율_pct,공공시설지역비율_pct,station_count_고속철도,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,station_count_준고속철도,station_count_일반철도,아파트비율_퍼센트,worker_density,business_density,station_density_지하철,기타지역비율_pct
11050640,자양1동,1,568431.37,45.56,9.3,2.96,0,2773.0,15415.0,4857.0,8826.0,1619.0,0,0,14.84,0.015526940393604124,0.0028481890434222837,1.7592273276233995e-06,42.17999999999999
11050650,자양2동,2,1656250.45,13.36,4.78,3.53,0,3863.0,16833.0,5764.0,5878.0,1216.0,0,0,38.95,0.0035489801678028282,0.0007341884797632254,1.2075468417158314e-06,78.33
11050660,자양3동,4,1195503.4,10.33,5.43,2.57,0,5320.0,18011.0,5859.0,6010.0,1149.0,0,0,81.08,0.005027170980818397,0.0009611014071481428,3.3458708690971027e-06,81.67
11050670,자양4동,4,1179121.32,19.47,11.0,1.62,0,1756.0,11554.0,5144.0,6012.0,1658.0,0,0,28.81,0.005098711979823257,0.0014061318134642317,3.3923566066688336e-06,67.91
11050600,구의1동,1,594547.34,42.44,9.86,2.9,0,2304.0,15655.0,4360.0,6875.0,1646.0,0,0,4.26,0.0115634189867612,0.002768492749412209,1.6819518526198108e-06,44.800000000000004
11050610,구의2동,2,1386971.89,20.76,5.33,5.66,0,4395.0,16991.0,6058.0,5643.0,1040.0,0,0,17.94,0.004068575607512359,0.0007498349515883135,1.4419902915159874e-06,68.25
11050620,구의3동,2,1026770.22,15.52,9.55,2.03,0,4745.0,19289.0,5759.0,16460.0,2611.0,0,0,62.49,0.016030850602425626,0.002542925329461319,1.947855480246127e-06,72.9
11060810,용신동,9,1617172.39,19.66,23.64,2.59,0,2945.0,19927.0,7736.0,28388.0,5015.0,1,3,39.9,0.017554096381663095,0.0031010917765971688,5.565269389705786e-06,54.11
11060820,제기동,7,1180807.75,23.79,27.69,2.78,0,2558.0,14786.0,7590.0,13355.0,4487.0,1,3,37.6,0.011310054494380562,0.003799941184296936,5.9281453733181526e-06,45.739999999999995
11060830,전농1동,6,1125837.19,26.35,18.89,2.54,0,4086.0,18683.0,7769.0,7608.0,2068.0,1,3,46.55,0.006757637842761637,0.001836855291644462,5.3293673838814175e-06,52.22
11060840,전농2동,3,976821.14,12.11,4.35,10.21,0,3182.0,11360.0,4958.0,4681.0,748.0,0,0,83.93,0.004792074831582862,0.0007657491933398806,3.071186604304334e-06,73.33
11060910,답십리1동,6,787641.35,21.89,12.79,3.46,0,4882.0,18738.0,5732.0,7660.0,1590.0,1,3,75.82,0.009725238523730056,0.002018685281035351,7.617680305793777e-06,61.86
11060860,답십리2동,2,875076.27,16.72,15.5,1.73,0,4211.0,18345.0,7602.0,7259.0,1902.0,0,0,80.87,0.008295276936165859,0.0021735248288452217,2.285515067134828e-06,66.05
11060870,장안1동,2,1341140.8,16.48,21.12,2.37,0,5419.0,24172.0,8912.0,20112.0,4020.0,0,0,51.36,0.01499618831956349,0.002997448142633514,1.4912677326534896e-06,60.03
11060880,장안2동,0,995877.08,20.16,20.13,3.25,0,5876.0,19742.0,7106.0,11143.0,2711.0,0,0,57.35,0.011189131895562964,0.0027222235097254955,0.0,56.46
11060800,청량리동,4,1203482.1,17.07,9.35,6.65,0,2211.0,11614.0,7332.0,8132.0,1476.0,1,3,58.3,0.006757059369584664,0.001226441174312219,3.3236888192743064e-06,66.93
11060710,회기동,3,766332.52,16.49,10.71,6.45,0,1254.0,7030.0,2037.0,10776.0,992.0,0,0,45.89,0.014061780909231651,0.0012944772329211022,3.914749696333979e-06,66.35
11060720,휘경1동,4,521397.63,26.06,13.15,1.7,0,1628.0,9494.0,3420.0,3477.0,849.0,0,0,51.11,0.006668614891734958,0.0016283158018645324,7.67168811243596e-06,59.09
11060730,휘경2동,3,1112757.51,18.49,6.16,4.26,0,3553.0,15372.0,5405.0,4334.0,625.0,0,0,60.44,0.003894828802333629,0.0005616677437606179,2.696005170050966e-06,71.09
11060890,이문1동,5,1038808.8,40.8,8.49,5.76,0,2198.0,12155.0,4492.0,6099.0,1070.0,0,0,34.04,0.005871147799230512,0.0010300259296895633,4.813205278923194e-06,44.95
