dong_code,dong_name,sido,sigungu,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,population_year,business_year
1114076,서강동,서울특별시,마포구,3263,16280,5029,10953,2581,2023,2023
1114077,공덕동,서울특별시,마포구,4001,23384,9096,20775,3352,2023,2023
1114078,아현동,서울특별시,마포구,4957,18284,5541,14420,2322,2023,2023
1115051,목1동,서울특별시,양천구,7465,17363,5445,22047,3688,2023,2023
1115052,목2동,서울특별시,양천구,3551,18391,6930,5053,1886,2023,2023
1115053,목3동,서울특별시,양천구,2381,13250,5593,4993,1798,2023,2023
1115054,목4동,서울특별시,양천구,3984,15199,5275,4587,1895,2023,2023
1115057,신월1동,서울특별시,양천구,1841,10919,6672,4824,1865,2023,2023
1115058,신월2동,서울특별시,양천구,2991,11662,6120,4424,1286,2023,2023
1115059,신월3동,서울특별시,양천구,1565,8011,4710,5029,1183,2023,2023
1115060,신월4동,서울특별시,양천구,2650,9602,5192,3339,1225,2023,2023
1115061,신월5동,서울특별시,양천구,1823,8154,4010,3740,1112,2023,2023
1115062,신월6동,서울특별시,양천구,2650,8066,3156,2854,994,2023,2023
1115063,신월7동,서울특별시,양천구,1856,10315,6493,5395,1338,2023,2023
1115064,신정1동,서울특별시,양천구,4413,11056,4248,5868,1503,2023,2023
1115065,신정2동,서울특별시,양천구,3950,10557,4267,4036,1456,2023,2023
1115066,신정3동,서울특별시,양천구,8456,28788,12317,8930,2582,2023,2023
1115069,신정6동,서울특별시,양천구,5301,13802,4858,6671,995,2023,2023
1115070,신정7동,서울특별시,양천구,4860,15501,7912,7130,1448,2023,2023
1115071,목5동,서울특별시,양천구,10213,22727,7765,10499,2284,2023,2023
1115072,신정4동,서울특별시,양천구,3163,19589,9000,16820,4149,2023,2023
1116051,염창동,서울특별시,강서구,7798,26080,7481,16080,2956,2023,2023
1116052,등촌1동,서울특별시,강서구,2378,17903,4653,19441,2881,2023,2023
1116053,등촌2동,서울특별시,강서구,2376,11804,5170,3858,1108,2023,2023
1116054,등촌3동,서울특별시,강서구,3052,15918,10437,22632,3186,2023,2023
1116055,화곡본동,서울특별시,강서구,3602,21542,7809,4602,1851,2023,2023
1116057,화곡2동,서울특별시,강서구,2092,10475,4486,2582,1132,2023,2023
1116058,화곡3동,서울특별시,강서구,2563,12315,6230,4628,1554,2023,2023
1116059,화곡4동,서울특별시,강서구,2041,11751,5929,4053,1752,2023,2023
1116061,화곡6동,서울특별시,강서구,2819,16721,6411,13049,2190,2023,2023
1116063,화곡8동,서울특별시,강서구,2350,14516,6624,3613,1581,2023,2023
1116064,가양1동,서울특별시,강서구,3023,25252,5598,77654,9365,2023,2023
1116065,가양2동,서울특별시,강서구,815,6515,6128,3368,766,2023,2023
