철도역명,구분,노선_열차종류,행정동코드_500m,행정동명_500m,행정동코드_1000m,행정동명_1000m,행정동코드명_500m,행정동코드명_1000m,대표ID
4.19민주묘지역,지하철,우이신설선,"[1130562000, 1130564500, 1132066000]","[서울특별시 강북구 수유2동, 서울특별시 강북구 우이동, 서울특별시 도봉구 쌍문1동]","[1130562000, 1130564500, 1130566000, 1132066000, 1132071000]","[서울특별시 강북구 수유2동, 서울특별시 강북구 우이동, 서울특별시 강북구 인수동, 서울특별시 도봉구 방학3동, 서울특별시 도봉구 쌍문1동]","[1130562000:서울특별시 강북구 수유2동, 1130564500:서울특별시 강북구 우이동, 1132066000:서울특별시 도봉구 쌍문1동]","[1130562000:서울특별시 강북구 수유2동, 1130564500:서울특별시 강북구 우이동, 1130566000:서울특별시 강북구 인수동, 1132066000:서울특별시 도봉구 쌍문1동, 1132071000:서울특별시 도봉구 방학3동]",ST000003
가능역,지하철,1호선,"[4115051000, 4115052000, 4115058000, 4115059000]","[경기도 의정부시 가능1동, 경기도 의정부시 의정부1동, 경기도 의정부시 의정부2동, 경기도 의정부시 자금동]","[4115051000, 4115052000, 4115058000, 4115059000, 4115060000, 4115062000]","[경기도 의정부시 가능1동, 경기도 의정부시 가능2동, 경기도 의정부시 녹양동, 경기도 의정부시 의정부1동, 경기도 의정부시 의정부2동, 경기도 의정부시 자금동]","[4115051000:경기도 의정부시 의정부1동, 4115052000:경기도 의정부시 의정부2동, 4115058000:경기도 의정부시 자금동, 4115059000:경기도 의정부시 가능1동]","[4115051000:경기도 의정부시 의정부1동, 4115052000:경기도 의정부시 의정부2동, 4115058000:경기도 의정부시 자금동, 4115059000:경기도 의정부시 가능1동, 4115060000:경기도 의정부시 가능2동, 4115062000:경기도 의정부시 녹양동]",ST000467
가락시장역,지하철,3호선,"[1171062000, 1171063100, 1171064100, 1171064200]","[서울특별시 송파구 가락1동, 서울특별시 송파구 가락본동, 서울특별시 송파구 문정1동, 서울특별시 송파구 문정2동]","[1168075000, 1171059000, 1171062000, 1171063100, 1171063200, 1171064100, 1171064200]","[서울특별시 강남구 수서동, 서울특별시 송파구 가락1동, 서울특별시 송파구 가락2동, 서울특별시 송파구 가락본동, 서울특별시 송파구 문정1동, 서울특별시 송파구 문정2동, 서울특별시 송파구 송파2동]","[1171062000:서울특별시 송파구 가락본동, 1171063100:서울특별시 송파구 가락1동, 1171064100:서울특별시 송파구 문정1동, 1171064200:서울특별시 송파구 문정2동]","[1168075000:서울특별시 강남구 수서동, 1171059000:서울특별시 송파구 송파2동, 1171062000:서울특별시 송파구 가락본동, 1171063100:서울특별시 송파구 가락1동, 1171063200:서울특별시 송파구 가락2동, 1171064100:서울특별시 송파구 문정1동, 1171064200:서울특별시 송파구 문정2동]",ST000178
가락시장역,지하철,8호선,"[1171062000, 1171063100, 1171064100, 1171064200]","[서울특별시 송파구 가락1동, 서울특별시 송파구 가락본동, 서울특별시 송파구 문정1동, 서울특별시 송파구 문정2동]","[1168075000, 1171059000, 1171062000, 1171063100, 1171063200, 1171064100, 1171064200]","[서울특별시 강남구 수서동, 서울특별시 송파구 가락1동, 서울특별시 송파구 가락2동, 서울특별시 송파구 가락본동, 서울특별시 송파구 문정1동, 서울특별시 송파구 문정2동, 서울특별시 송파구 송파2동]","[1171062000:서울특별시 송파구 가락본동, 1171063100:서울특별시 송파구 가락1동, 1171064100:서울특별시 송파구 문정1동, 1171064200:서울특별시 송파구 문정2동]","[1168075000:서울특별시 강남구 수서동, 1171059000:서울특별시 송파구 송파2동, 1171062000:서울특별시 송파구 가락본동, 1171063100:서울특별시 송파구 가락1동, 1171063200:서울특별시 송파구 가락2동, 1171064100:서울특별시 송파구 문정1동, 1171064200:서울특별시 송파구 문정2동]",ST000178
가산디지털단지역,지하철,1호선,"[1153059500, 1154551000]","[서울특별시 구로구 가리봉동, 서울특별시 금천구 가산동]","[1153052000, 1153053000, 1153054000, 1153055000, 1153059500, 1154551000, 4121059000, 4121060000, 4121061000, 4121063400]","[경기도 광명시 철산1동, 경기도 광명시 철산2동, 경기도 광명시 철산3동, 경기도 광명시 하안4동, 서울특별시 구로구 가리봉동, 서울특별시 구로구 구로1동, 서울특별시 구로구 구로2동, 서울특별시 구로구 구로3동, 서울특별시 구로구 구로4동, 서울특별시 금천구 가산동]","[1153059500:서울특별시 구로구 가리봉동, 1154551000:서울특별시 금천구 가산동]","[1153052000:서울특별시 구로구 구로1동, 1153053000:서울특별시 구로구 구로2동, 1153054000:서울특별시 구로구 구로3동, 1153055000:서울특별시 구로구 구로4동, 1153059500:서울특별시 구로구 가리봉동, 1154551000:서울특별시 금천구 가산동, 4121059000:경기도 광명시 철산1동, 4121060000:경기도 광명시 철산2동, 4121061000:경기도 광명시 철산3동, 4121063400:경기도 광명시 하안4동]",ST000305
가산디지털단지역,지하철,7호선,"[1153059500, 1154551000]","[서울특별시 구로구 가리봉동, 서울특별시 금천구 가산동]","[1153052000, 1153053000, 1153054000, 1153055000, 1153059500, 1154551000, 4121059000, 4121060000, 4121061000, 4121063400]","[경기도 광명시 철산1동, 경기도 광명시 철산2동, 경기도 광명시 철산3동, 경기도 광명시 하안4동, 서울특별시 구로구 가리봉동, 서울특별시 구로구 구로1동, 서울특별시 구로구 구로2동, 서울특별시 구로구 구로3동, 서울특별시 구로구 구로4동, 서울특별시 금천구 가산동]","[1153059500:서울특별시 구로구 가리봉동, 1154551000:서울특별시 금천구 가산동]","[1153052000:서울특별시 구로구 구로1동, 1153053000:서울특별시 구로구 구로2동, 1153054000:서울특별시 구로구 구로3동, 1153055000:서울특별시 구로구 구로4동, 1153059500:서울특별시 구로구 가리봉동, 1154551000:서울특별시 금천구 가산동, 4121059000:경기도 광명시 철산1동, 4121060000:경기도 광명시 철산2동, 4121061000:경기도 광명시 철산3동, 4121063400:경기도 광명시 하안4동]",ST000305
가양역,지하철,9호선,"[1150052000, 1150053500, 1150060400, 1150060500]","[서울특별시 강서구 가양2동, 서울특별시 강서구 가양3동, 서울특별시 강서구 등촌1동, 서울특별시 강서구 등촌3동]","[1144074000, 1150051000, 1150052000, 1150053000, 1150053500, 1150059100, 1150060300, 1150060400, 1150060500, 1150061500]","[서울특별시 강서구 가양1동, 서울특별시 강서구 가양2동, 서울특별시 강서구 가양3동, 서울특별시 강서구 등촌1동, 서울특별시 강서구 등촌2동, 서울특별시 강서구 등촌3동, 서울특별시 강서구 염창동, 서울특별시 강서구 우장산동, 서울특별시 강서구 화곡6동, 서울특별시 마포구 상암동]","[1150052000:서울특별시 강서구 등촌1동, 1150053500:서울특별시 강서구 등촌3동, 1150060400:서울특별시 강서구 가양2동, 1150060500:서울특별시 강서구 가양3동]","[1144074000:서울특별시 마포구 상암동, 1150051000:서울특별시 강서구 염창동, 1150052000:서울특별시 강서구 등촌1동, 1150053000:서울특별시 강서구 등촌2동, 1150053500:서울특별시 강서구 등촌3동, 1150059100:서울특별시 강서구 화곡6동, 1150060300:서울특별시 강서구 가양1동, 1150060400:서울특별시 강서구 가양2동, 1150060500:서울특별시 강서구 가양3동, 1150061500:서울특별시 강서구 우장산동]",ST000020
가오리역,지하철,우이신설선,"[1130562000, 1130563000, 1130564500, 1130566000]","[서울특별시 강북구 수유2동, 서울특별시 강북구 수유3동, 서울특별시 강북구 우이동, 서울특별시 강북구 인수동]","[1130553500, 1130559000, 1130561000, 1130562000, 1130563000, 1130564500, 1130566000, 1132066000, 1132068000]","[서울특별시 강북구 미아동, 서울특별시 강북구 번1동, 서울특별시 강북구 수유1동, 서울특별시 강북구 수유2동, 서울특별시 강북구 수유3동, 서울특별시 강북구 우이동, 서울특별시 강북구 인수동, 서울특별시 도봉구 쌍문1동, 서울특별시 도봉구 쌍문3동]","[1130562000:서울특별시 강북구 수유2동, 1130563000:서울특별시 강북구 수유3동, 1130564500:서울특별시 강북구 우이동, 1130566000:서울특별시 강북구 인수동]","[1130553500:서울특별시 강북구 미아동, 1130559000:서울특별시 강북구 번1동, 1130561000:서울특별시 강북구 수유1동, 1130562000:서울특별시 강북구 수유2동, 1130563000:서울특별시 강북구 수유3동, 1130564500:서울특별시 강북구 우이동, 1130566000:서울특별시 강북구 인수동, 1132066000:서울특별시 도봉구 쌍문1동, 1132068000:서울특별시 도봉구 쌍문3동]",ST000004
가재울역,지하철,인천2호선,"[2826059000, 2826060000, 2826061000]","[인천광역시 서구 가좌2동, 인천광역시 서구 가좌3동, 인천광역시 서구 가좌4동]","[2823768000, 2826058000, 2826059000, 2826060000, 2826061000]","[인천광역시 부평구 십정1동, 인천광역시 서구 가좌1동, 인천광역시 서구 가좌2동, 인천광역시 서구 가좌3동, 인천광역시 서구 가좌4동]","[2826059000:인천광역시 서구 가좌2동, 2826060000:인천광역시 서구 가좌3동, 2826061000:인천광역시 서구 가좌4동]","[2823768000:인천광역시 부평구 십정1동, 2826058000:인천광역시 서구 가좌1동, 2826059000:인천광역시 서구 가좌2동, 2826060000:인천광역시 서구 가좌3동, 2826061000:인천광역시 서구 가좌4동]",ST000082
가정역,지하철,인천2호선,"[2826054200, 2826054300, 2826057500]","[인천광역시 서구 가정1동, 인천광역시 서구 가정2동, 인천광역시 서구 신현원창동]","[2826053600, 2826054200, 2826054300, 2826054400, 2826057500]","[인천광역시 서구 가정1동, 인천광역시 서구 가정2동, 인천광역시 서구 가정3동, 인천광역시 서구 신현원창동, 인천광역시 서구 청라1동]","[2826054200:인천광역시 서구 가정1동, 2826054300:인천광역시 서구 가정2동, 2826057500:인천광역시 서구 신현원창동]","[2826053600:인천광역시 서구 청라1동, 2826054200:인천광역시 서구 가정1동, 2826054300:인천광역시 서구 가정2동, 2826054400:인천광역시 서구 가정3동, 2826057500:인천광역시 서구 신현원창동]",ST000430
가정중앙시장역,지하철,인천2호선,"[2826054200, 2826054300, 2826054400, 2826055000, 2826056100, 2826057500]","[인천광역시 서구 가정1동, 인천광역시 서구 가정2동, 인천광역시 서구 가정3동, 인천광역시 서구 석남1동, 인천광역시 서구 석남3동, 인천광역시 서구 신현원창동]","[2823757000, 2823759100, 2826054200, 2826054300, 2826054400, 2826055000, 2826056100, 2826057500]","[인천광역시 부평구 산곡1동, 인천광역시 부평구 청천1동, 인천광역시 서구 가정1동, 인천광역시 서구 가정2동, 인천광역시 서구 가정3동, 인천광역시 서구 석남1동, 인천광역시 서구 석남3동, 인천광역시 서구 신현원창동]","[2826054200:인천광역시 서구 가정1동, 2826054300:인천광역시 서구 가정2동, 2826054400:인천광역시 서구 가정3동, 2826055000:인천광역시 서구 석남1동, 2826056100:인천광역시 서구 석남3동, 2826057500:인천광역시 서구 신현원창동]","[2823757000:인천광역시 부평구 산곡1동, 2823759100:인천광역시 부평구 청천1동, 2826054200:인천광역시 서구 가정1동, 2826054300:인천광역시 서구 가정2동, 2826054400:인천광역시 서구 가정3동, 2826055000:인천광역시 서구 석남1동, 2826056100:인천광역시 서구 석남3동, 2826057500:인천광역시 서구 신현원창동]",ST000078
가좌역,지하철,경의중앙선,"[1141061500, 1141069000, 1141071000, 1144071000, 1144072000, 1144073000]","[서울특별시 마포구 성산1동, 서울특별시 마포구 성산2동, 서울특별시 마포구 연남동, 서울특별시 서대문구 남가좌1동, 서울특별시 서대문구 북가좌1동, 서울특별시 서대문구 연희동]","[1141061500, 1141069000, 1141070000, 1141071000, 1141072000, 1144071000, 1144072000, 1144073000]","[서울특별시 마포구 성산1동, 서울특별시 마포구 성산2동, 서울특별시 마포구 연남동, 서울특별시 서대문구 남가좌1동, 서울특별시 서대문구 남가좌2동, 서울특별시 서대문구 북가좌1동, 서울특별시 서대문구 북가좌2동, 서울특별시 서대문구 연희동]","[1141061500:서울특별시 서대문구 연희동, 1141069000:서울특별시 서대문구 남가좌1동, 1141071000:서울특별시 서대문구 북가좌1동, 1144071000:서울특별시 마포구 연남동, 1144072000:서울특별시 마포구 성산1동, 1144073000:서울특별시 마포구 성산2동]","[1141061500:서울특별시 서대문구 연희동, 1141069000:서울특별시 서대문구 남가좌1동, 1141070000:서울특별시 서대문구 남가좌2동, 1141071000:서울특별시 서대문구 북가좌1동, 1141072000:서울특별시 서대문구 북가좌2동, 1144071000:서울특별시 마포구 연남동, 1144072000:서울특별시 마포구 성산1동, 1144073000:서울특별시 마포구 성산2동]",ST000625
가천대역,지하철,수인분당선,"[4113154000, 4113156000, 4113162000]","[경기도 성남시수정구 복정동, 경기도 성남시수정구 태평1동, 경기도 성남시수정구 태평3동]","[4113154000, 4113155000, 4113156000, 4113156100, 4113157000, 4113158000, 4113162000, 4113163000]","[경기도 성남시수정구 복정동, 경기도 성남시수정구 수진1동, 경기도 성남시수정구 수진2동, 경기도 성남시수정구 신촌동, 경기도 성남시수정구 태평1동, 경기도 성남시수정구 태평2동, 경기도 성남시수정구 태평3동, 경기도 성남시수정구 태평4동]","[4113154000:경기도 성남시수정구 태평1동, 4113156000:경기도 성남시수정구 태평3동, 4113162000:경기도 성남시수정구 복정동]","[4113154000:경기도 성남시수정구 태평1동, 4113155000:경기도 성남시수정구 태평2동, 4113156000:경기도 성남시수정구 태평3동, 4113156100:경기도 성남시수정구 태평4동, 4113157000:경기도 성남시수정구 수진1동, 4113158000:경기도 성남시수정구 수진2동, 4113162000:경기도 성남시수정구 복정동, 4113163000:경기도 성남시수정구 신촌동]",ST000505
가평역,지하철,경춘선,[4182025000],[경기도 가평군 가평읍],[4182025000],[경기도 가평군 가평읍],[4182025000:경기도 가평군 가평읍],[4182025000:경기도 가평군 가평읍],ST000595
간석역,지하철,1호선,"[2817070000, 2817071000, 2820053000, 2820055100]","[인천광역시 남구 주안5동, 인천광역시 남구 주안6동, 인천광역시 남동구 간석1동, 인천광역시 남동구 간석4동]","[2817066000, 2817069000, 2817070000, 2817071000, 2820053000, 2820055100, 2823768000, 2823769000]","[인천광역시 남구 주안1동, 인천광역시 남구 주안4동, 인천광역시 남구 주안5동, 인천광역시 남구 주안6동, 인천광역시 남동구 간석1동, 인천광역시 남동구 간석4동, 인천광역시 부평구 십정1동, 인천광역시 부평구 십정2동]","[2817070000:인천광역시 남구 주안5동, 2817071000:인천광역시 남구 주안6동, 2820053000:인천광역시 남동구 간석1동, 2820055100:인천광역시 남동구 간석4동]","[2817066000:인천광역시 남구 주안1동, 2817069000:인천광역시 남구 주안4동, 2817070000:인천광역시 남구 주안5동, 2817071000:인천광역시 남구 주안6동, 2820053000:인천광역시 남동구 간석1동, 2820055100:인천광역시 남동구 간석4동, 2823768000:인천광역시 부평구 십정1동, 2823769000:인천광역시 부평구 십정2동]",ST000512
간석오거리역,지하철,인천1호선,"[2820053000, 2820054000, 2820055000, 2820055100, 2823769000]","[인천광역시 남동구 간석1동, 인천광역시 남동구 간석2동, 인천광역시 남동구 간석3동, 인천광역시 남동구 간석4동, 인천광역시 부평구 십정2동]","[2820052000, 2820053000, 2820054000, 2820055000, 2820055100, 2823769000]","[인천광역시 남동구 간석1동, 인천광역시 남동구 간석2동, 인천광역시 남동구 간석3동, 인천광역시 남동구 간석4동, 인천광역시 남동구 구월2동, 인천광역시 부평구 십정2동]","[2820053000:인천광역시 남동구 간석1동, 2820054000:인천광역시 남동구 간석2동, 2820055000:인천광역시 남동구 간석3동, 2820055100:인천광역시 남동구 간석4동, 2823769000:인천광역시 부평구 십정2동]","[2820052000:인천광역시 남동구 구월2동, 2820053000:인천광역시 남동구 간석1동, 2820054000:인천광역시 남동구 간석2동, 2820055000:인천광역시 남동구 간석3동, 2820055100:인천광역시 남동구 간석4동, 2823769000:인천광역시 부평구 십정2동]",ST000054
갈매역,지하철,경춘선,"[1135060000, 4131051000]","[경기도 구리시 갈매동, 서울특별시 노원구 공릉2동]","[1135060000, 4131051000, 4136057000]","[경기도 구리시 갈매동, 경기도 남양주시 별내동, 서울특별시 노원구 공릉2동]","[1135060000:서울특별시 노원구 공릉2동, 4131051000:경기도 구리시 갈매동]","[1135060000:서울특별시 노원구 공릉2동, 4131051000:경기도 구리시 갈매동, 4136057000:경기도 남양주시 별내동]",ST000605
갈산역,지하철,인천1호선,"[2823759200, 2823764100, 2823764200]","[인천광역시 부평구 갈산1동, 인천광역시 부평구 갈산2동, 인천광역시 부평구 청천2동]","[2823759200, 2823764100, 2823764200, 2823764600, 2823764800, 2824560200, 2824562100, 2824562200]","[인천광역시 계양구 작전1동, 인천광역시 계양구 작전2동, 인천광역시 계양구 효성2동, 인천광역시 부평구 갈산1동, 인천광역시 부평구 갈산2동, 인천광역시 부평구 삼산1동, 인천광역시 부평구 삼산2동, 인천광역시 부평구 청천2동]","[2823759200:인천광역시 부평구 청천2동, 2823764100:인천광역시 부평구 갈산1동, 2823764200:인천광역시 부평구 갈산2동]","[2823759200:인천광역시 부평구 청천2동, 2823764100:인천광역시 부평구 갈산1동, 2823764200:인천광역시 부평구 갈산2동, 2823764600:인천광역시 부평구 삼산1동, 2823764800:인천광역시 부평구 삼산2동, 2824560200:인천광역시 계양구 효성2동, 2824562100:인천광역시 계양구 작전1동, 2824562200:인천광역시 계양구 작전2동]",ST000050
강남구청역,지하철,7호선,"[1168053100, 1168056500, 1168059000]","[서울특별시 강남구 논현2동, 서울특별시 강남구 삼성2동, 서울특별시 강남구 청담동]","[1168052100, 1168053100, 1168054500, 1168056500, 1168058000, 1168059000, 1168064000]","[서울특별시 강남구 논현1동, 서울특별시 강남구 논현2동, 서울특별시 강남구 삼성1동, 서울특별시 강남구 삼성2동, 서울특별시 강남구 압구정동, 서울특별시 강남구 역삼1동, 서울특별시 강남구 청담동]","[1168053100:서울특별시 강남구 논현2동, 1168056500:서울특별시 강남구 청담동, 1168059000:서울특별시 강남구 삼성2동]","[1168052100:서울특별시 강남구 논현1동, 1168053100:서울특별시 강남구 논현2동, 1168054500:서울특별시 강남구 압구정동, 1168056500:서울특별시 강남구 청담동, 1168058000:서울특별시 강남구 삼성1동, 1168059000:서울특별시 강남구 삼성2동, 1168064000:서울특별시 강남구 역삼1동]",ST000292
강남구청역,지하철,수인분당선,"[1168053100, 1168056500, 1168059000]","[서울특별시 강남구 논현2동, 서울특별시 강남구 삼성2동, 서울특별시 강남구 청담동]","[1168052100, 1168053100, 1168054500, 1168056500, 1168058000, 1168059000, 1168064000]","[서울특별시 강남구 논현1동, 서울특별시 강남구 논현2동, 서울특별시 강남구 삼성1동, 서울특별시 강남구 삼성2동, 서울특별시 강남구 압구정동, 서울특별시 강남구 역삼1동, 서울특별시 강남구 청담동]","[1168053100:서울특별시 강남구 논현2동, 1168056500:서울특별시 강남구 청담동, 1168059000:서울특별시 강남구 삼성2동]","[1168052100:서울특별시 강남구 논현1동, 1168053100:서울특별시 강남구 논현2동, 1168054500:서울특별시 강남구 압구정동, 1168056500:서울특별시 강남구 청담동, 1168058000:서울특별시 강남구 삼성1동, 1168059000:서울특별시 강남구 삼성2동, 1168064000:서울특별시 강남구 역삼1동]",ST000292
강남대역,지하철,에버라인,"[4146352000, 4146353000]","[경기도 용인시기흥구 구갈동, 경기도 용인시기흥구 상갈동]","[4146352000, 4146353000, 4146358600]","[경기도 용인시기흥구 구갈동, 경기도 용인시기흥구 상갈동, 경기도 용인시기흥구 상하동]","[4146352000:경기도 용인시기흥구 구갈동, 4146353000:경기도 용인시기흥구 상갈동]","[4146352000:경기도 용인시기흥구 구갈동, 4146353000:경기도 용인시기흥구 상갈동, 4146358600:경기도 용인시기흥구 상하동]",ST000399
강남역,지하철,2호선,"[1165052000, 1165053100, 1168064000]","[서울특별시 강남구 역삼1동, 서울특별시 서초구 서초2동, 서울특별시 서초구 서초4동]","[1165051000, 1165052000, 1165053100, 1165056000, 1168052100, 1168064000, 1168065000]","[서울특별시 강남구 논현1동, 서울특별시 강남구 역삼1동, 서울특별시 강남구 역삼2동, 서울특별시 서초구 반포1동, 서울특별시 서초구 서초1동, 서울특별시 서초구 서초2동, 서울특별시 서초구 서초4동]","[1165052000:서울특별시 서초구 서초2동, 1165053100:서울특별시 서초구 서초4동, 1168064000:서울특별시 강남구 역삼1동]","[1165051000:서울특별시 서초구 서초1동, 1165052000:서울특별시 서초구 서초2동, 1165053100:서울특별시 서초구 서초4동, 1165056000:서울특별시 서초구 반포1동, 1168052100:서울특별시 강남구 논현1동, 1168064000:서울특별시 강남구 역삼1동, 1168065000:서울특별시 강남구 역삼2동]",ST000123
강남역,지하철,신분당선,"[1165052000, 1165053100, 1168064000]","[서울특별시 강남구 역삼1동, 서울특별시 서초구 서초2동, 서울특별시 서초구 서초4동]","[1165051000, 1165052000, 1165053100, 1165056000, 1168052100, 1168064000, 1168065000]","[서울특별시 강남구 논현1동, 서울특별시 강남구 역삼1동, 서울특별시 강남구 역삼2동, 서울특별시 서초구 반포1동, 서울특별시 서초구 서초1동, 서울특별시 서초구 서초2동, 서울특별시 서초구 서초4동]","[1165052000:서울특별시 서초구 서초2동, 1165053100:서울특별시 서초구 서초4동, 1168064000:서울특별시 강남구 역삼1동]","[1165051000:서울특별시 서초구 서초1동, 1165052000:서울특별시 서초구 서초2동, 1165053100:서울특별시 서초구 서초4동, 1165056000:서울특별시 서초구 반포1동, 1168052100:서울특별시 강남구 논현1동, 1168064000:서울특별시 강남구 역삼1동, 1168065000:서울특별시 강남구 역삼2동]",ST000123
강동구청역,지하철,8호선,"[1171051000, 1171052000, 1171056600, 1174064000, 1174065000]","[서울특별시 강동구 성내1동, 서울특별시 강동구 성내2동, 서울특별시 송파구 오륜동, 서울특별시 송파구 풍납1동, 서울특별시 송파구 풍납2동]","[1171051000, 1171052000, 1171056600, 1171069000, 1174061000, 1174062000, 1174064000, 1174065000, 1174066000]","[서울특별시 강동구 성내1동, 서울특별시 강동구 성내2동, 서울특별시 강동구 성내3동, 서울특별시 강동구 천호2동, 서울특별시 강동구 천호3동, 서울특별시 송파구 오륜동, 서울특별시 송파구 잠실4동, 서울특별시 송파구 풍납1동, 서울특별시 송파구 풍납2동]","[1171051000:서울특별시 송파구 풍납1동, 1171052000:서울특별시 송파구 풍납2동, 1171056600:서울특별시 송파구 오륜동, 1174064000:서울특별시 강동구 성내1동, 1174065000:서울특별시 강동구 성내2동]","[1171051000:서울특별시 송파구 풍납1동, 1171052000:서울특별시 송파구 풍납2동, 1171056600:서울특별시 송파구 오륜동, 1171069000:서울특별시 송파구 잠실4동, 1174061000:서울특별시 강동구 천호2동, 1174062000:서울특별시 강동구 천호3동, 1174064000:서울특별시 강동구 성내1동, 1174065000:서울특별시 강동구 성내2동, 1174066000:서울특별시 강동구 성내3동]",ST000311
강동역,지하철,5호선,"[1174062000, 1174065000, 1174066000, 1174068500]","[서울특별시 강동구 길동, 서울특별시 강동구 성내2동, 서울특별시 강동구 성내3동, 서울특별시 강동구 천호3동]","[1171051000, 1174060000, 1174061000, 1174062000, 1174064000, 1174065000, 1174066000, 1174068500, 1174069000, 1174070000]","[서울특별시 강동구 길동, 서울특별시 강동구 둔촌1동, 서울특별시 강동구 둔촌2동, 서울특별시 강동구 성내1동, 서울특별시 강동구 성내2동, 서울특별시 강동구 성내3동, 서울특별시 강동구 천호1동, 서울특별시 강동구 천호2동, 서울특별시 강동구 천호3동, 서울특별시 송파구 풍납1동]","[1174062000:서울특별시 강동구 천호3동, 1174065000:서울특별시 강동구 성내2동, 1174066000:서울특별시 강동구 성내3동, 1174068500:서울특별시 강동구 길동]","[1171051000:서울특별시 송파구 풍납1동, 1174060000:서울특별시 강동구 천호1동, 1174061000:서울특별시 강동구 천호2동, 1174062000:서울특별시 강동구 천호3동, 1174064000:서울특별시 강동구 성내1동, 1174065000:서울특별시 강동구 성내2동, 1174066000:서울특별시 강동구 성내3동, 1174068500:서울특별시 강동구 길동, 1174069000:서울특별시 강동구 둔촌1동, 1174070000:서울특별시 강동구 둔촌2동]",ST000228
강매역,지하철,경의중앙선,"[4128165000, 4128165500]","[경기도 고양시덕양구 행신2동, 경기도 고양시덕양구 행신3동]","[4128153000, 4128164000, 4128165000, 4128165500]","[경기도 고양시덕양구 행신1동, 경기도 고양시덕양구 행신2동, 경기도 고양시덕양구 행신3동, 경기도 고양시덕양구 흥도동]","[4128165000:경기도 고양시덕양구 행신2동, 4128165500:경기도 고양시덕양구 행신3동]","[4128153000:경기도 고양시덕양구 흥도동, 4128164000:경기도 고양시덕양구 행신1동, 4128165000:경기도 고양시덕양구 행신2동, 4128165500:경기도 고양시덕양구 행신3동]",ST000622
강변역,지하철,2호선,"[1121583000, 1121587000]","[서울특별시 광진구 구의3동, 서울특별시 광진구 자양2동]","[1121581000, 1121582000, 1121583000, 1121585000, 1121586000, 1121587000, 1171051000, 1171052000, 1171069000, 1171071000]","[서울특별시 광진구 광장동, 서울특별시 광진구 구의1동, 서울특별시 광진구 구의2동, 서울특별시 광진구 구의3동, 서울특별시 광진구 자양1동, 서울특별시 광진구 자양2동, 서울특별시 송파구 잠실4동, 서울특별시 송파구 잠실6동, 서울특별시 송파구 풍납1동, 서울특별시 송파구 풍납2동]","[1121583000:서울특별시 광진구 자양2동, 1121587000:서울특별시 광진구 구의3동]","[1121581000:서울특별시 광진구 광장동, 1121582000:서울특별시 광진구 자양1동, 1121583000:서울특별시 광진구 자양2동, 1121585000:서울특별시 광진구 구의1동, 1121586000:서울특별시 광진구 구의2동, 1121587000:서울특별시 광진구 구의3동, 1171051000:서울특별시 송파구 풍납1동, 1171052000:서울특별시 송파구 풍납2동, 1171069000:서울특별시 송파구 잠실4동, 1171071000:서울특별시 송파구 잠실6동]",ST000115
강일역,지하철,5호선,"[1174051500, 1174052000, 1174056000, 4145057000]","[경기도 하남시 풍산동, 서울특별시 강동구 강일동, 서울특별시 강동구 고덕2동, 서울특별시 강동구 상일동]","[1174051500, 1174052000, 1174056000, 4145057000, 4145061000]","[경기도 하남시 미사1동, 경기도 하남시 풍산동, 서울특별시 강동구 강일동, 서울특별시 강동구 고덕2동, 서울특별시 강동구 상일동]","[1174051500:서울특별시 강동구 강일동, 1174052000:서울특별시 강동구 상일동, 1174056000:서울특별시 강동구 고덕2동, 4145057000:경기도 하남시 풍산동]","[1174051500:서울특별시 강동구 강일동, 1174052000:서울특별시 강동구 상일동, 1174056000:서울특별시 강동구 고덕2동, 4145057000:경기도 하남시 풍산동, 4145061000:경기도 하남시 미사1동]",ST000240
개롱역,지하철,5호선,"[1171053100, 1171057000, 1171063200]","[서울특별시 송파구 가락2동, 서울특별시 송파구 거여1동, 서울특별시 송파구 오금동]","[1171053100, 1171053200, 1171055000, 1171057000, 1171062000, 1171063200, 1171064100, 1171064600, 1171064700, 4145058000]","[경기도 하남시 감북동, 서울특별시 송파구 가락2동, 서울특별시 송파구 가락본동, 서울특별시 송파구 거여1동, 서울특별시 송파구 거여2동, 서울특별시 송파구 마천2동, 서울특별시 송파구 문정1동, 서울특별시 송파구 오금동, 서울특별시 송파구 위례동, 서울특별시 송파구 장지동]","[1171053100:서울특별시 송파구 거여1동, 1171057000:서울특별시 송파구 오금동, 1171063200:서울특별시 송파구 가락2동]","[1171053100:서울특별시 송파구 거여1동, 1171053200:서울특별시 송파구 거여2동, 1171055000:서울특별시 송파구 마천2동, 1171057000:서울특별시 송파구 오금동, 1171062000:서울특별시 송파구 가락본동, 1171063200:서울특별시 송파구 가락2동, 1171064100:서울특별시 송파구 문정1동, 1171064600:서울특별시 송파구 장지동, 1171064700:서울특별시 송파구 위례동, 4145058000:경기도 하남시 감북동]",ST000237
