시도,시군구명칭,읍면동명칭,행정구역코드,아파트수,전체주택수,아파트비율_퍼센트
서울,노원구,상계3·4동,11110760,4469,8544,52.31
서울,노원구,상계6·7동,11110770,12891,13020,99.01
서울,노원구,중계2·3동,11110780,13657,14374,95.01
서울,노원구,공릉1동,11110790,9000,13883,64.83
서울,은평구,녹번동,11120510,5053,12362,40.88
서울,은평구,불광1동,11120520,7164,13480,53.15
서울,은평구,갈현1동,11120550,928,7300,12.71
서울,은평구,갈현2동,11120560,1376,9333,14.74
서울,은평구,구산동,11120570,2597,10198,25.47
서울,은평구,대조동,11120580,1756,9419,18.64
서울,은평구,응암1동,11120590,2608,8464,30.81
서울,은평구,응암2동,11120600,6219,8082,76.95
서울,은평구,신사1동,11120650,2998,9473,31.65
서울,은평구,신사2동,11120660,2394,6544,36.58
서울,은평구,증산동,11120670,1856,4914,37.77
서울,은평구,수색동,11120680,2185,3141,69.56
서울,은평구,진관동,11120710,16082,19821,81.14
서울,은평구,불광2동,11120720,882,8790,10.03
서울,은평구,응암3동,11120730,924,7454,12.4
서울,은평구,역촌동,11120740,1746,14879,11.73
서울,서대문구,천연동,11130520,4962,5976,83.03
서울,서대문구,홍제1동,11130620,4848,7888,61.46
서울,서대문구,홍제3동,11130640,2557,4997,51.17
서울,서대문구,홍제2동,11130650,3968,4827,82.2
서울,서대문구,홍은1동,11130660,4340,6708,64.7
서울,서대문구,홍은2동,11130680,2509,9052,27.72
서울,서대문구,남가좌1동,11130690,5106,5430,94.03
서울,서대문구,남가좌2동,11130700,4651,7867,59.12
서울,서대문구,북가좌1동,11130710,4730,6023,78.53
서울,서대문구,북가좌2동,11130720,2013,10486,19.2
서울,서대문구,충현동,11130730,1470,5709,25.75
서울,서대문구,북아현동,11130740,4097,5388,76.04
서울,서대문구,신촌동,11130750,1562,7774,20.09
서울,서대문구,연희동,11130760,3263,12463,26.18
서울,마포구,용강동,11140590,5775,7738,74.63
서울,마포구,대흥동,11140600,1520,3991,38.09
서울,마포구,염리동,11140610,1744,2987,58.39
서울,마포구,신수동,11140630,4939,7305,67.61
서울,마포구,서교동,11140660,1469,8944,16.42
서울,마포구,합정동,11140680,1065,6396,16.65
서울,마포구,망원1동,11140690,1464,6893,21.24
서울,마포구,망원2동,11140700,2415,6157,39.22
서울,마포구,연남동,11140710,837,5303,15.78
서울,마포구,성산1동,11140720,653,6539,9.99
서울,마포구,성산2동,11140730,9610,15980,60.14
서울,마포구,상암동,11140740,8445,11459,73.7
서울,마포구,도화동,11140750,5840,7599,76.85
서울,마포구,서강동,11140760,5519,8802,62.7
서울,마포구,공덕동,11140770,6909,13870,49.81
서울,마포구,아현동,11140780,7952,8887,89.48
서울,양천구,목1동,11150510,7211,9602,75.1
서울,양천구,목2동,11150520,2764,10168,27.18
서울,양천구,목3동,11150530,2233,7334,30.45
서울,양천구,목4동,11150540,2793,7398,37.75
서울,양천구,신월1동,11150570,1269,6073,20.9
서울,양천구,신월2동,11150580,3765,7228,52.09
서울,양천구,신월3동,11150590,1045,4230,24.7
서울,양천구,신월4동,11150600,3355,6050,55.45
서울,양천구,신월5동,11150610,1417,4564,31.05
서울,양천구,신월6동,11150620,1366,2116,64.56
서울,양천구,신월7동,11150630,3192,8146,39.18
서울,양천구,신정1동,11150640,5385,6016,89.51
서울,양천구,신정2동,11150650,5121,5986,85.55
서울,양천구,신정3동,11150660,13206,15344,86.07
서울,양천구,신정6동,11150690,7085,7695,92.07
서울,양천구,신정7동,11150700,10219,10859,94.11
서울,양천구,목5동,11150710,12149,12847,94.57
서울,양천구,신정4동,11150720,1921,10374,18.52
서울,강서구,염창동,11160510,11631,14037,82.86
서울,강서구,등촌1동,11160520,4076,9055,45.01
서울,강서구,등촌2동,11160530,2609,6849,38.09
서울,강서구,등촌3동,11160540,12827,13861,92.54
서울,강서구,화곡본동,11160550,997,13026,7.65
서울,강서구,화곡2동,11160570,337,5946,5.67
서울,강서구,화곡3동,11160580,3411,6819,50.02
서울,강서구,화곡4동,11160590,670,6690,10.01
서울,강서구,화곡6동,11160610,2809,8471,33.16
서울,강서구,화곡8동,11160630,718,8845,8.12
서울,강서구,가양2동,11160650,6682,7586,88.08
서울,강서구,가양3동,11160660,7185,7459,96.33
서울,강서구,발산1동,11160670,8894,11968,74.31
서울,강서구,공항동,11160690,2905,7749,37.49
서울,강서구,방화1동,11160700,9799,14009,69.95
서울,강서구,방화2동,11160710,3702,8124,45.57
서울,강서구,화곡1동,11160730,5657,19898,28.43
서울,강서구,우장산동,11160740,9486,13410,70.74
서울,강서구,가양1동,11160751,6494,17552,37.0
서울,강서구,방화3동,11160761,8484,10074,84.22
서울,구로구,신도림동,11170510,10303,12235,84.21
서울,구로구,구로1동,11170520,6433,7849,81.96
서울,구로구,구로3동,11170540,5472,9212,59.4
서울,구로구,구로4동,11170550,5859,9259,63.28
서울,구로구,구로5동,11170560,6437,11320,56.86
서울,구로구,고척1동,11170610,5424,7553,71.81
서울,구로구,고척2동,11170620,4415,7838,56.33
서울,구로구,개봉2동,11170640,6398,10735,59.6
서울,구로구,개봉3동,11170650,2194,6884,31.87
서울,구로구,오류1동,11170670,4042,8517,47.46
서울,구로구,수궁동,11170690,1462,8396,17.41
서울,구로구,가리봉동,11170700,114,2936,3.88
서울,구로구,구로2동,11170710,1941,8002,24.26
서울,구로구,개봉1동,11170720,4923,9640,51.07
서울,구로구,오류2동,11170730,9066,13263,68.36
서울,구로구,항동,11170740,3837,4532,84.66
서울,금천구,가산동,11180510,2949,9263,31.84
서울,금천구,독산1동,11180520,9916,15109,65.63
서울,금천구,독산2동,11180530,207,4814,4.3
서울,금천구,독산3동,11180540,1491,7481,19.93
서울,금천구,독산4동,11180550,449,3966,11.32
서울,금천구,시흥1동,11180570,4611,10951,42.11
서울,금천구,시흥2동,11180580,7243,7606,95.23
서울,금천구,시흥3동,11180590,425,3940,10.79
서울,금천구,시흥4동,11180600,1605,5772,27.81
서울,금천구,시흥5동,11180610,1531,5151,29.72
서울,영등포구,여의동,11190540,9715,11918,81.52
서울,영등포구,당산1동,11190550,4079,6952,58.67
서울,영등포구,당산2동,11190560,8640,14138,61.11
서울,영등포구,양평1동,11190610,2929,7148,40.98
서울,영등포구,양평2동,11190620,4632,8192,56.54
서울,영등포구,신길1동,11190630,1325,5111,25.92
서울,영등포구,신길3동,11190650,3164,4694,67.41
서울,영등포구,신길4동,11190660,1202,2340,51.37
서울,영등포구,신길5동,11190670,609,2340,26.03
서울,영등포구,신길6동,11190680,3407,5090,66.94
서울,영등포구,신길7동,11190690,4558,5116,89.09
서울,영등포구,대림1동,11190700,1282,3241,39.56
서울,영등포구,대림2동,11190710,1516,4558,33.26
서울,영등포구,대림3동,11190720,4169,7402,56.32
서울,영등포구,영등포본동,11190730,3528,6507,54.22
서울,영등포구,영등포동,11190740,4632,12196,37.98
서울,영등포구,도림동,11190750,1535,5661,27.12
서울,영등포구,문래동,11190760,7838,11057,70.89
서울,동작구,노량진2동,11200520,98,2781,3.52
서울,동작구,상도1동,11200530,8976,14797,60.66
서울,동작구,상도2동,11200540,6036,9122,66.17
서울,동작구,상도3동,11200550,949,7334,12.94
서울,동작구,상도4동,11200560,688,8197,8.39
서울,동작구,사당1동,11200630,550,6045,9.1
서울,동작구,사당3동,11200650,5211,7813,66.7
서울,동작구,사당4동,11200660,974,4094,23.79
서울,동작구,사당5동,11200670,1720,3590,47.91
서울,동작구,대방동,11200680,7024,12311,57.05
서울,동작구,신대방1동,11200690,4562,7035,64.85
서울,동작구,신대방2동,11200700,3090,5579,55.39
서울,동작구,흑석동,11200710,6858,9581,71.58
서울,동작구,노량진1동,11200720,8013,10632,75.37
서울,동작구,사당2동,11200730,6369,8479,75.11
서울,관악구,보라매동,11210520,1410,6695,21.06
서울,관악구,청림동,11210540,4305,5185,83.03
서울,관악구,행운동,11210570,3462,7704,44.94
서울,관악구,낙성대동,11210580,1361,4393,30.98
서울,관악구,중앙동,11210610,1011,5143,19.66
서울,관악구,인헌동,11210620,1318,7140,18.46
서울,관악구,남현동,11210630,2090,6232,33.54
서울,관악구,서원동,11210640,785,6403,12.26
서울,관악구,신원동,11210650,674,3906,17.26
서울,관악구,서림동,11210660,1737,5290,32.84
