철도역명,구분,노선_열차종류,행정동코드_500m,행정동코드_1000m,대표ID
영등포역,고속철도,KTX,"[11190730, 11190740, 11190750, 11190760]","[11190540, 11190550, 11190630, 11190650, 11190660, 11190730, 11190740, 11190750, 11190760]",ST000659
영등포역,일반철도,ITX-마음,"[11190730, 11190740, 11190750, 11190760]","[11190540, 11190550, 11190630, 11190650, 11190660, 11190730, 11190740, 11190750, 11190760]",ST000659
영등포역,일반철도,ITX-새마을,"[11190730, 11190740, 11190750, 11190760]","[11190540, 11190550, 11190630, 11190650, 11190660, 11190730, 11190740, 11190750, 11190760]",ST000659
영등포역,일반철도,누리로,"[11190730, 11190740, 11190750, 11190760]","[11190540, 11190550, 11190630, 11190650, 11190660, 11190730, 11190740, 11190750, 11190760]",ST000659
영등포역,일반철도,무궁화,"[11190730, 11190740, 11190750, 11190760]","[11190540, 11190550, 11190630, 11190650, 11190660, 11190730, 11190740, 11190750, 11190760]",ST000659
영등포역,일반철도,새마을,"[11190730, 11190740, 11190750, 11190760]","[11190540, 11190550, 11190630, 11190650, 11190660, 11190730, 11190740, 11190750, 11190760]",ST000659
영등포역,지하철,1호선,"[11190730, 11190740, 11190750, 11190760]","[11190540, 11190550, 11190630, 11190650, 11190660, 11190730, 11190740, 11190750, 11190760]",ST000659
영종역,지하철,공항철도,[23010650],[23010650],ST000329
영통역,지하철,수인분당선,"[31014650, 31014660]","[31014530, 31014600, 31014640, 31014650, 31014660, 31014670, 31192550, 31192640]",ST000493
예술회관역,지하철,인천1호선,[23050530],"[23050510, 23050521, 23050530, 23050550, 23090680, 23090700, 23090720, 23090730]",ST000055
오금역,지하철,3호선,"[11240570, 11240600, 11240620, 11240650, 11240670]","[11240570, 11240590, 11240600, 11240620, 11240650, 11240670, 11240680]",ST000180
오금역,지하철,5호선,"[11240570, 11240600, 11240620, 11240650, 11240670]","[11240570, 11240590, 11240600, 11240620, 11240650, 11240670, 11240680]",ST000180
오남역,지하철,진접선,"[31130120, 31130150]","[31130120, 31130150]",ST000664
오류동역,지하철,1호선,"[11170640, 11170670, 11170720, 11170730]","[11170620, 11170640, 11170650, 11170670, 11170690, 11170720, 11170730]",ST000522
오리역,지하철,수인분당선,"[31023670, 31023720, 31193550, 31193560]","[31023670, 31023710, 31023720, 31193510, 31193550, 31193560, 31193600]",ST000500
오목교역,지하철,5호선,"[11150510, 11150650, 11150690, 11190610, 11190760]","[11150510, 11150540, 11150640, 11150650, 11150690, 11150710, 11150720, 11170510, 11190610, 11190760]",ST000208
오목천역,지하철,수인분당선,[31012550],"[31012550, 31240120, 31240310]",ST000487
오빈역,지하철,경의중앙선,[31580110],"[31580110, 31580310, 31580340]",ST000632
오산대역,지하철,1호선,"[31140571, 31140572]","[31140530, 31140571, 31140572, 31240700]",ST000549
