철도역명,구분,노선_열차종류,행정동코드_500m,행정동코드_1000m,대표ID
4.19민주묘지역,지하철,우이신설선,"[11090640, 11090740, 11100510]","[11090640, 11090740, 11090750, 11100510, 11100570]",ST000003
가능역,지하철,1호선,"[31030520, 31030600, 31030680, 31030690]","[31030520, 31030600, 31030640, 31030670, 31030680, 31030690]",ST000467
가락시장역,지하철,3호선,"[11240650, 11240660, 11240680, 11240690]","[11230750, 11240620, 11240650, 11240660, 11240670, 11240680, 11240690]",ST000178
가락시장역,지하철,8호선,"[11240650, 11240660, 11240680, 11240690]","[11230750, 11240620, 11240650, 11240660, 11240670, 11240680, 11240690]",ST000178
가산디지털단지역,지하철,1호선,"[11170700, 11180510]","[11170520, 11170540, 11170550, 11170700, 11170710, 11180510, 31060580, 31060590, 31060600]",ST000305
가산디지털단지역,지하철,7호선,"[11170700, 11180510]","[11170520, 11170540, 11170550, 11170700, 11170710, 11180510, 31060580, 31060590, 31060600]",ST000305
가양역,지하철,9호선,"[11160520, 11160540, 11160650, 11160660]","[11140740, 11160510, 11160520, 11160530, 11160540, 11160610, 11160650, 11160660, 11160740, 11160751]",ST000020
가오리역,지하철,우이신설선,"[11090640, 11090650, 11090740, 11090750]","[11090600, 11090630, 11090640, 11090650, 11090700, 11090740, 11090750, 11100510, 11100530]",ST000004
가재울역,지하철,인천2호선,"[23080630, 23080640, 23080650]","[23060700, 23080620, 23080630, 23080640, 23080650]",ST000082
가정역,지하철,인천2호선,"[23080541, 23080550, 23080730]","[23080541, 23080550, 23080560, 23080730]",ST000430
가정중앙시장역,지하철,인천2호선,"[23080541, 23080550, 23080560, 23080580, 23080600, 23080730]","[23060610, 23080541, 23080550, 23080560, 23080580, 23080600, 23080730]",ST000078
가좌역,지하철,경의중앙선,"[11130690, 11130710, 11130760, 11140710, 11140720, 11140730]","[11130690, 11130700, 11130710, 11130720, 11130760, 11140710, 11140720, 11140730]",ST000625
가천대역,지하철,수인분당선,"[31021540, 31021560, 31021670]","[31021540, 31021550, 31021560, 31021570, 31021580, 31021590, 31021640, 31021670]",ST000505
가평역,지하철,경춘선,[31570110],[31570110],ST000595
간석역,지하철,1호선,"[23050580, 23060710, 23090690, 23090700]","[23050550, 23050580, 23060700, 23060710, 23090650, 23090680, 23090690, 23090700]",ST000512
간석오거리역,지하철,인천1호선,"[23050550, 23050561, 23050570, 23050580, 23060710]","[23050521, 23050550, 23050561, 23050570, 23050580, 23060710]",ST000054
갈매역,지하철,경춘선,"[11110560, 31120510]","[11110560, 31120510, 31130570]",ST000605
갈산역,지하철,인천1호선,"[23060620, 23060630, 23060640]","[23060620, 23060630, 23060640, 23060650, 23060720, 23070520, 23070560, 23070570]",ST000050
강남구청역,지하철,7호선,"[11230530, 11230590, 11230780]","[11230520, 11230530, 11230580, 11230590, 11230640, 11230770, 11230780]",ST000292
강남구청역,지하철,수인분당선,"[11230530, 11230590, 11230780]","[11230520, 11230530, 11230580, 11230590, 11230640, 11230770, 11230780]",ST000292
강남대역,지하철,에버라인,"[31192520, 31192650, 31192660]","[31192520, 31192600, 31192650, 31192660]",ST000399
강남역,지하철,2호선,"[11220520, 11220540, 11230640]","[11220510, 11220520, 11220540, 11220570, 11230520, 11230640, 11230650]",ST000123
강남역,지하철,신분당선,"[11220520, 11220540, 11230640]","[11220510, 11220520, 11220540, 11220570, 11230520, 11230640, 11230650]",ST000123
강동구청역,지하철,8호선,"[11240510, 11240520, 11240590, 11250650, 11250660]","[11240510, 11240520, 11240590, 11240750, 11250630, 11250650, 11250660, 11250670, 11250730]",ST000311
강동역,지하철,5호선,"[11250630, 11250660, 11250670, 11250740]","[11240510, 11250610, 11250630, 11250650, 11250660, 11250670, 11250700, 11250710, 11250730, 11250740]",ST000228
강매역,지하철,경의중앙선,"[31101515, 31101660]","[31101511, 31101514, 31101515, 31101650, 31101660, 31101680]",ST000622
강변역,지하철,2호선,"[11050620, 11050650, 11240520]","[11050600, 11050610, 11050620, 11050630, 11050640, 11050650, 11240510, 11240520, 11240770]",ST000115
강일역,지하철,5호선,"[11250560, 11250750, 11250760, 11250770, 31180611]","[11250560, 11250750, 11250760, 11250770, 31180611, 31180620]",ST000240
개롱역,지하철,5호선,"[11240530, 11240600, 11240670]","[11240530, 11240540, 11240560, 11240600, 11240650, 11240670, 11240680, 11240810, 11240820, 31180670]",ST000237
개봉역,지하철,1호선,"[11170610, 11170640, 11170720]","[11170520, 11170610, 11170620, 11170640, 11170650, 11170670, 11170710, 11170720, 11170730, 31060510, 31060580, 31060590]",ST000523
개포동역,지하철,수인분당선,"[11230600, 11230790, 11230800]","[11230511, 11230600, 11230670, 11230680, 11230790, 11230800]",ST000647
개화산역,지하철,5호선,"[11160700, 11160710, 11160761]","[11160690, 11160700, 11160710, 11160761]",ST000200
개화역,지하철,9호선,"[11160710, 23070640]","[11160690, 11160700, 11160710, 11160761, 23070640, 31230120]",ST000014
거여역,지하철,5호선,"[11240530, 11240540, 11240600, 11240670, 11240820]","[11240530, 11240540, 11240550, 11240560, 11240600, 11240670, 11240680, 11240810, 11240820]",ST000238
건대입구역,지하철,2호선,"[11050530, 11050660, 11050670]","[11040670, 11040680, 11040690, 11050530, 11050540, 11050590, 11050600, 11050640, 11050650, 11050660, 11050670]",ST000113
건대입구역,지하철,7호선,"[11050530, 11050660, 11050670]","[11040670, 11040680, 11040690, 11050530, 11050540, 11050590, 11050600, 11050640, 11050650, 11050660, 11050670]",ST000113
걸포북변역,지하철,김포골드라인,[31230610],"[31230560, 31230600, 31230610]",ST000353
검단사거리역,지하철,인천2호선,"[23080800, 23080840]","[23080800, 23080840, 23080860]",ST000070
검단오류역,지하철,인천2호선,[23080840],"[23080840, 31230130]",ST000068
검단호수공원역,지하철,인천1호선,[23080810],"[23080800, 23080810, 23080850, 23080860, 23080870]",ST000436
검바위역,지하철,인천2호선,"[23080510, 23080531]","[23080510, 23080531]",ST000075
검암역,지하철,공항철도,[23080510],[23080510],ST000074
검암역,지하철,인천2호선,[23080510],[23080510],ST000074
경기광주역,지하철,경강선,"[31250512, 31250540]","[31250512, 31250540, 31250560, 31250580]",ST000572
경기도청북부청사역,지하철,의정부,"[31030580, 31030600]","[31030580, 31030591, 31030600]",ST000376
경마공원역,지하철,4호선,"[31110550, 31110560]","[31110510, 31110540, 31110550, 31110560]",ST000580
경마공원역,지하철,과천선,"[31110550, 31110560]","[31110510, 31110540, 31110550, 31110560]",ST000580
경마공원역,지하철,안산과천선,"[31110550, 31110560]","[31110510, 31110540, 31110550, 31110560]",ST000580
경복궁역,지하철,3호선,"[11010530, 11010610, 11010720]","[11010530, 11010540, 11010570, 11010580, 11010600, 11010610, 11010720, 11020520, 11020550]",ST000159
경인교대입구역,지하철,인천1호선,"[23070530, 23070550, 23070570]","[23070510, 23070530, 23070540, 23070550, 23070560, 23070570]",ST000048
경전철의정부역,지하철,의정부,"[31030520, 31030670, 31030690]","[31030520, 31030570, 31030650, 31030670, 31030680, 31030690]",ST000382
경찰병원역,지하철,3호선,"[11240650, 11240670, 11240680]","[11240600, 11240620, 11240650, 11240660, 11240670, 11240680, 11240690]",ST000179
계산역,지하철,인천1호선,"[23070530, 23070540, 23070550, 23070610]","[23070530, 23070540, 23070550, 23070560, 23070570, 23070610, 23070620]",ST000047
계양역,지하철,공항철도,"[23070630, 23070640]","[23070630, 23070640]",ST000043
계양역,지하철,인천1호선,"[23070630, 23070640]","[23070630, 23070640]",ST000043
고덕역,지하철,5호선,"[11250530, 11250540, 11250550, 11250560, 11250760]","[11250530, 11250540, 11250550, 11250560, 11250590, 11250720, 11250760]",ST000232
고려대역,지하철,6호선,"[11060800, 11060820, 11080600, 11080840]","[11060710, 11060800, 11060820, 11080600, 11080720, 11080840]",ST000265
고색역,지하철,수인분당선,[31012550],"[31012550, 31012560]",ST000488
고속터미널역,지하철,3호선,"[11220570, 11220580, 11220590, 11220600]","[11220530, 11220540, 11220550, 11220560, 11220570, 11220580, 11220590, 11220600]",ST000036
고속터미널역,지하철,7호선,"[11220570, 11220580, 11220590, 11220600]","[11220530, 11220540, 11220550, 11220560, 11220570, 11220580, 11220590, 11220600]",ST000036
고속터미널역,지하철,9호선,"[11220570, 11220580, 11220590, 11220600]","[11220530, 11220540, 11220550, 11220560, 11220570, 11220580, 11220590, 11220600]",ST000036
고잔역,지하철,4호선,"[31092660, 31092730, 31092740]","[31092660, 31092730, 31092740, 31092750]",ST000529
고잔역,지하철,수인분당선,"[31092660, 31092730, 31092740]","[31092660, 31092730, 31092740, 31092750]",ST000529
고잔역,지하철,안산과천선,"[31092660, 31092730, 31092740]","[31092660, 31092730, 31092740, 31092750]",ST000529
고잔역,지하철,안산선,"[31092660, 31092730, 31092740]","[31092660, 31092730, 31092740, 31092750]",ST000529
고진역,지하철,에버라인,"[31191510, 31191530]","[31191510, 31191530, 31191540, 31191550]",ST000389
고촌역,지하철,김포골드라인,[31230120],[31230120],ST000350
곡산역,지하철,경의중앙선,"[31101610, 31103540, 31103550]","[31101610, 31103540, 31103550, 31103580]",ST000619
곡산역,지하철,서해선,"[31101610, 31103540, 31103550]","[31101610, 31103540, 31103550, 31103580]",ST000619
곤제역,지하철,의정부,"[31030580, 31030591, 31030600, 31030710]","[31030580, 31030591, 31030600, 31030700, 31030710]",ST000374
곤지암역,지하철,경강선,[31250140],[31250140],ST000570
공덕역,지하철,5호선,"[11030580, 11030590, 11140590, 11140610, 11140750, 11140770, 11140780]","[11030570, 11030580, 11030590, 11030710, 11140590, 11140600, 11140610, 11140750, 11140770, 11140780]",ST000214
공덕역,지하철,6호선,"[11030580, 11030590, 11140590, 11140610, 11140750, 11140770, 11140780]","[11030570, 11030580, 11030590, 11030710, 11140590, 11140600, 11140610, 11140750, 11140770, 11140780]",ST000214
공덕역,지하철,경의중앙선,"[11030580, 11030590, 11140590, 11140610, 11140750, 11140770, 11140780]","[11030570, 11030580, 11030590, 11030710, 11140590, 11140600, 11140610, 11140750, 11140770, 11140780]",ST000214
공덕역,지하철,공항철도,"[11030580, 11030590, 11140590, 11140610, 11140750, 11140770, 11140780]","[11030570, 11030580, 11030590, 11030710, 11140590, 11140600, 11140610, 11140750, 11140770, 11140780]",ST000214
공릉역,지하철,7호선,"[11110530, 11110560, 11110790]","[11070640, 11070650, 11110510, 11110530, 11110560, 11110580, 11110590, 11110790]",ST000281
공항시장역,지하철,9호선,"[11160690, 11160700, 11160710]","[11160690, 11160700, 11160710]",ST000016
공항화물청사역,지하철,공항철도,[23010640],[23010640],ST000331
과천역,지하철,4호선,"[31110510, 31110530, 31110540]","[31110510, 31110530, 31110540, 31110550, 31110560]",ST000578
과천역,지하철,과천선,"[31110510, 31110530, 31110540]","[31110510, 31110530, 31110540, 31110550, 31110560]",ST000578
과천역,지하철,안산과천선,"[31110510, 31110530, 31110540]","[31110510, 31110530, 31110540, 31110550, 31110560]",ST000578
관악산역,지하철,신림선,"[11210660, 11210730, 11210800]","[11210580, 11210660, 11210730, 11210800]",ST000401
관악역,지하철,1호선,"[31041600, 31041610]","[31041520, 31041600, 31041610]",ST000561
광교역,지하철,신분당선,[31014620],[31014620],ST000340
광교중앙역,지하철,신분당선,"[31014600, 31014620, 31014630]","[31013540, 31013550, 31014600, 31014620, 31014630]",ST000339
광나루역,지하철,5호선,"[11050610, 11050630]","[11050610, 11050620, 11050630, 11240510, 11240520, 11250580, 11250730]",ST000226
광명사거리역,지하철,7호선,"[11170650, 31060520, 31060530, 31060540, 31060550, 31060570]","[11170650, 11170730, 31060510, 31060520, 31060530, 31060540, 31060550, 31060560, 31060570, 31060590, 31060600, 31060610]",ST000307
광명역,고속철도,KTX,"[31041610, 31041640, 31060700]","[31041610, 31041640, 31041651, 31060700]",ST000536
광명역,고속철도,KTX-산천,"[31041610, 31041640, 31060700]","[31041610, 31041640, 31041651, 31060700]",ST000536
광명역,지하철,1호선,"[31041610, 31041640, 31060700]","[31041610, 31041640, 31041651, 31060700]",ST000536
광운대역,지하철,1호선,"[11110510, 11110530]","[11080780, 11110510, 11110520, 11110530, 11110590, 11110790]",ST000652
광운대역,지하철,경의중앙선,"[11110510, 11110530]","[11080780, 11110510, 11110520, 11110530, 11110590, 11110790]",ST000652
광운대역,지하철,경춘선,"[11110510, 11110530]","[11080780, 11110510, 11110520, 11110530, 11110590, 11110790]",ST000652
광화문역,지하철,5호선,"[11010530, 11010610, 11020520, 11020550]","[11010530, 11010540, 11010580, 11010610, 11010720, 11020520, 11020550]",ST000217
광흥창역,지하철,6호선,"[11140630, 11140760]","[11130750, 11140590, 11140600, 11140630, 11140660, 11140760, 11190540]",ST000256
교대역,지하철,2호선,"[11220510, 11220530, 11220540]","[11220510, 11220520, 11220530, 11220540, 11220570, 11220600]",ST000124
교대역,지하철,3호선,"[11220510, 11220530, 11220540]","[11220510, 11220520, 11220530, 11220540, 11220570, 11220600]",ST000124
구래역,지하철,김포골드라인,"[31230630, 31230640]","[31230130, 31230630, 31230640]",ST000357
구로디지털단지역,지하철,2호선,"[11170540, 11190710, 11200690, 11210720]","[11170540, 11170700, 11180510, 11180520, 11180540, 11190700, 11190710, 11200690, 11210680, 11210720, 11210830]",ST000133
구로역,지하철,1호선,"[11170510, 11170520, 11170560, 11170710]","[11150690, 11150700, 11170510, 11170520, 11170560, 11170610, 11170710, 11190720]",ST000564
구룡역,지하철,수인분당선,"[11230600, 11230670, 11230680, 11230800]","[11230600, 11230660, 11230670, 11230680, 11230710, 11230790, 11230800]",ST000648
구리역,지하철,8호선,"[31120520, 31120530, 31120540, 31120560]","[31120520, 31120530, 31120540, 31120550, 31120560, 31120570, 31130580, 31130590]",ST000439
구리역,지하철,경의중앙선,"[31120520, 31120530, 31120540, 31120560]","[31120520, 31120530, 31120540, 31120550, 31120560, 31120570, 31130580, 31130590]",ST000439
구리역,지하철,별내선,"[31120520, 31120530, 31120540, 31120560]","[31120520, 31120530, 31120540, 31120550, 31120560, 31120570, 31130580, 31130590]",ST000439
구반포역,지하철,9호선,"[11200730, 11220560, 11220580, 11220600, 11220610]","[11030630, 11030690, 11200730, 11220560, 11220580, 11220600, 11220610, 11220650]",ST000034
구산역,지하철,6호선,"[11120560, 11120570, 11120580, 11120740]","[11120510, 11120520, 11120550, 11120560, 11120570, 11120580, 11120720, 11120740]",ST000248
구성역,광역급행철도,GTXA,"[31192570, 31192590]","[31192570, 31192590, 31192610]",GTX_구성_GTXA
구성역,지하철,수인분당선,"[31192570, 31192590]","[31192570, 31192590, 31192610]",ST000345
구의역,지하철,2호선,"[11050530, 11050600, 11050620, 11050640, 11050650]","[11050530, 11050590, 11050600, 11050610, 11050620, 11050640, 11050650, 11050660]",ST000114
구일역,지하철,1호선,"[11170520, 11170610, 11170640, 11170710, 11170720, 31060580]","[11150700, 11170520, 11170610, 11170640, 11170650, 11170710, 11170720, 31060510, 31060580, 31060590]",ST000514
구파발역,지하철,3호선,[11120710],"[11120550, 11120710, 11120720, 31101560, 31101580]",ST000152
국수역,지하철,경의중앙선,[31580330],[31580330],ST000634
국제업무지구역,지하철,인천1호선,"[23040660, 23040680]","[23040660, 23040680]",ST000067
국회의사당역,지하철,9호선,[11190540],"[11190540, 11190560, 11190740]",ST000027
군자역,지하철,5호선,"[11050540, 11050550, 11050560, 11050590]","[11040690, 11040700, 11050540, 11050550, 11050560, 11050570, 11050580, 11050590, 11060870]",ST000224
군자역,지하철,7호선,"[11050540, 11050550, 11050560, 11050590]","[11040690, 11040700, 11050540, 11050550, 11050560, 11050570, 11050580, 11050590, 11060870]",ST000224
군포역,지하철,1호선,"[31160510, 31160520]","[31160510, 31160520, 31160560, 31160570]",ST000557
굴포천역,지하철,7호선,"[23060540, 23060550, 23060640, 23060680, 23060720]","[23060510, 23060540, 23060550, 23060620, 23060630, 23060640, 23060680, 23060720, 31051691, 31051701]",ST000422
굽은다리역,지하철,5호선,"[11250530, 11250540, 11250610, 11250630, 11250740]","[11250530, 11250540, 11250610, 11250630, 11250720, 11250730, 11250740]",ST000230
귤현역,지하철,인천1호선,"[23070630, 23070640]","[23070610, 23070630, 23070640]",ST000044
금곡역,지하철,경춘선,"[31130140, 31130530]","[31130140, 31130520, 31130530]",ST000602
금릉역,지하철,경의중앙선,"[31200511, 31200520]","[31200150, 31200511, 31200512, 31200514, 31200520, 31200530]",ST000612
금정역,지하철,1호선,"[31042620, 31042630, 31160540, 31160560]","[31041570, 31041580, 31042620, 31042630, 31042640, 31160540, 31160550, 31160560]",ST000558
금정역,지하철,4호선,"[31042620, 31042630, 31160540, 31160560]","[31041570, 31041580, 31042620, 31042630, 31042640, 31160540, 31160550, 31160560]",ST000558
금정역,지하철,과천선,"[31042620, 31042630, 31160540, 31160560]","[31041570, 31041580, 31042620, 31042630, 31042640, 31160540, 31160550, 31160560]",ST000558
금정역,지하철,안산과천선,"[31042620, 31042630, 31160540, 31160560]","[31041570, 31041580, 31042620, 31042630, 31042640, 31160540, 31160550, 31160560]",ST000558
금천구청역,지하철,1호선,"[11180520, 11180570, 31060660]","[11180520, 11180530, 11180570, 11180600, 31060640, 31060660]",ST000563
금촌역,지하철,경의중앙선,"[31200530, 31200540]","[31200310, 31200520, 31200530, 31200540]",ST000611
금호역,지하철,3호선,"[11020710, 11040620, 11040720, 11040730]","[11020700, 11020710, 11020720, 11030740, 11040590, 11040620, 11040720, 11040730]",ST000164
기흥역,지하철,수인분당선,"[31192520, 31192610, 31192650]","[31192520, 31192610, 31192650]",ST000400
기흥역,지하철,에버라인,"[31192520, 31192610, 31192650]","[31192520, 31192610, 31192650]",ST000400
길동역,지하철,5호선,"[11250610, 11250630, 11250670, 11250710, 11250740]","[11250530, 11250610, 11250630, 11250660, 11250670, 11250710, 11250730, 11250740]",ST000229
길음역,지하철,4호선,"[11080580, 11080620, 11080660, 11080680, 11080840]","[11080580, 11080590, 11080600, 11080620, 11080630, 11080660, 11080680, 11080710, 11080830, 11080840, 11090710, 11090720, 11090730]",ST000188
김량장역,지하철,에버라인,"[31191510, 31191550]","[31191510, 31191530, 31191540, 31191550]",ST000391
김포공항역,지하철,5호선,"[11160690, 11160710]","[11160690, 11160700, 11160710]",ST000015
김포공항역,지하철,9호선,"[11160690, 11160710]","[11160690, 11160700, 11160710]",ST000015
김포공항역,지하철,공항철도,"[11160690, 11160710]","[11160690, 11160700, 11160710]",ST000015
김포공항역,지하철,김포골드라인,"[11160690, 11160710]","[11160690, 11160700, 11160710]",ST000015
김포공항역,지하철,서해선,"[11160690, 11160710]","[11160690, 11160700, 11160710]",ST000015
까치산역,지하철,2호선,"[11150580, 11150720, 11160570, 11160630, 11160730]","[11150570, 11150580, 11150600, 11150720, 11160550, 11160570, 11160590, 11160630, 11160730]",ST000150
까치산역,지하철,5호선,"[11150580, 11150720, 11160570, 11160630, 11160730]","[11150570, 11150580, 11150600, 11150720, 11160550, 11160570, 11160590, 11160630, 11160730]",ST000150
까치울역,지하철,7호선,"[31051591, 31053511]","[11170690, 31051571, 31051591, 31053511]",ST000429
낙성대역,지하철,2호선,"[11200660, 11200670, 11210570, 11210580, 11210620]","[11200630, 11200660, 11200670, 11210540, 11210570, 11210580, 11210620, 11210630, 11210800]",ST000128
남구로역,지하철,7호선,"[11170540, 11170550, 11170700, 11170710, 11180510]","[11170520, 11170540, 11170550, 11170560, 11170700, 11170710, 11180510, 11190710, 11190720, 31060580]",ST000304
남동구청역,지하철,인천2호선,"[23050590, 23050620, 23050640, 23050670, 23050750]","[23050540, 23050590, 23050620, 23050630, 23050640, 23050670, 23050750]",ST000091
남동인더스파크역,지하철,수인분당선,"[23050730, 23050740]","[23040540, 23040590, 23050670, 23050730, 23050740]",ST000478
남부터미널역,지하철,3호선,"[11220510, 11220530]","[11220510, 11220520, 11220530, 11220540, 11220660]",ST000169
남성역,지하철,7호선,"[11200630, 11200650, 11200660, 11200670]","[11200630, 11200650, 11200660, 11200670, 11200730, 11210540, 11210570, 11210630, 11220630, 11220650]",ST000297
남영역,지하철,1호선,"[11030530, 11030710, 11030720, 11030730]","[11030510, 11030520, 11030530, 11030580, 11030590, 11030710, 11030720, 11030730]",ST000661
남위례역,지하철,8호선,"[31021670, 31021680]","[11240820, 31021520, 31021570, 31021670, 31021680]",ST000319
남태령역,지하철,4호선,"[11210630, 11220630, 31110550]","[11210630, 11220630, 11220640, 31110550]",ST000198
남한산성입구역,지하철,8호선,"[31021600, 31021610, 31021620, 31022540, 31022550, 31022560]","[31021520, 31021600, 31021610, 31021620, 31022530, 31022540, 31022550, 31022560, 31022620]",ST000321
내방역,지하철,7호선,"[11220620, 11220630, 11220650]","[11200730, 11220530, 11220600, 11220610, 11220620, 11220630, 11220640, 11220650]",ST000296
노들역,지하철,9호선,"[11030630, 11030640, 11200530, 11200710, 11200720]","[11030630, 11030640, 11190540, 11200520, 11200530, 11200540, 11200710, 11200720]",ST000031
노량진역,지하철,1호선,"[11190540, 11200520, 11200720]","[11030640, 11190540, 11200520, 11200540, 11200680, 11200720]",ST000030
노량진역,지하철,9호선,"[11190540, 11200520, 11200720]","[11030640, 11190540, 11200520, 11200540, 11200680, 11200720]",ST000030
노원역,지하철,4호선,"[11110660, 11110740, 11110770]","[11100620, 11110610, 11110640, 11110660, 11110690, 11110720, 11110730, 11110740, 11110770, 11110780]",ST000278
노원역,지하철,7호선,"[11110660, 11110740, 11110770]","[11100620, 11110610, 11110640, 11110660, 11110690, 11110720, 11110730, 11110740, 11110770, 11110780]",ST000278
녹번역,지하철,3호선,"[11120510, 11120590, 11130660, 11130680]","[11120510, 11120520, 11120580, 11120590, 11130660, 11130680]",ST000155
녹사평역,지하철,6호선,"[11030520, 11030650, 11030660]","[11030520, 11030530, 11030650, 11030660, 11030690, 11030700, 11030730, 11030740]",ST000259
녹양역,지하철,1호선,"[31030640, 31030680, 31030690]","[31030600, 31030640, 31030680, 31030690, 31260510]",ST000466
녹천역,지하철,1호선,"[11100590, 11100620, 11110520, 11110770]","[11100590, 11100600, 11100610, 11100620, 11100630, 11110520, 11110590, 11110770, 11110780]",ST000650
논현역,지하철,7호선,"[11220550, 11220570, 11230520]","[11220540, 11220550, 11220570, 11220590, 11230510, 11230520, 11230530, 11230640]",ST000294
논현역,지하철,신분당선,"[11220550, 11220570, 11230520]","[11220540, 11220550, 11220570, 11220590, 11230510, 11230520, 11230530, 11230640]",ST000294
능곡역,지하철,경의중앙선,"[31101610, 31101640, 31101660]","[31101610, 31101640, 31101650, 31101660]",ST000620
능곡역,지하철,서해선,"[31101610, 31101640, 31101660]","[31101610, 31101640, 31101650, 31101660]",ST000620
능길역,지하철,수인분당선,"[31092770, 31150680]","[31092770, 31150640, 31150650, 31150680]",ST000754
능길역,지하철,안산과천선,"[31092770, 31150680]","[31092770, 31150640, 31150650, 31150680]",ST000754
다산역,지하철,8호선,[31130580],"[31120520, 31130140, 31130580]",ST000441
다산역,지하철,별내선,[31130580],"[31120520, 31130140, 31130580]",ST000441
단대오거리역,지하철,8호선,"[31021520, 31021530, 31021600, 31022530, 31022540, 31022620]","[31021520, 31021530, 31021600, 31021610, 31022530, 31022540, 31022550, 31022570, 31022580, 31022590, 31022600, 31022620]",ST000322
달미역,지하철,서해선,"[31092690, 31092700]","[31092590, 31092690, 31092700, 31150670]",ST000363
달월역,지하철,수인분당선,"[31150640, 31150690, 31150740]","[31150640, 31150690, 31150740]",ST000483
답십리역,지하철,5호선,"[11040540, 11040550, 11040700, 11060860, 11060910]","[11040540, 11040550, 11040700, 11060830, 11060860, 11060870, 11060910]",ST000222
당고개역,지하철,4호선,"[11110690, 11110760]","[11110640, 11110650, 11110690, 11110730, 11110760]",ST000181
당곡역,지하철,신림선,"[11200550, 11200700, 11210520, 11210690]","[11200550, 11200680, 11200700, 11210520, 11210640, 11210650, 11210680, 11210690, 11210780, 11210800, 11210830]",ST000404
당산역,지하철,2호선,"[11190560, 11190620, 11190740]","[11140680, 11190540, 11190550, 11190560, 11190610, 11190620, 11190740]",ST000026
당산역,지하철,9호선,"[11190560, 11190620, 11190740]","[11140680, 11190540, 11190550, 11190560, 11190610, 11190620, 11190740]",ST000026
당정역,지하철,1호선,"[31160510, 31160520, 31170520]","[31160510, 31160520, 31170510, 31170520]",ST000538
대곡역,광역급행철도,GTXA,[31101610],[31101610],GTX_대곡_GTXA
대곡역,지하철,3호선,[31101610],[31101610],ST000347
대곡역,지하철,경의중앙선,[31101610],[31101610],ST000347
대곡역,지하철,서해선,[31101610],[31101610],ST000347
대곡역,지하철,일산선,[31101610],[31101610],ST000347
대공원역,지하철,4호선,"[31110540, 31110550, 31110560]","[31110510, 31110530, 31110540, 31110550, 31110560]",ST000579
대공원역,지하철,과천선,"[31110540, 31110550, 31110560]","[31110510, 31110530, 31110540, 31110550, 31110560]",ST000579
대공원역,지하철,안산과천선,"[31110540, 31110550, 31110560]","[31110510, 31110530, 31110540, 31110550, 31110560]",ST000579
대림역,지하철,2호선,"[11170540, 11170550, 11170710, 11190700, 11190710, 11190720]","[11170540, 11170550, 11170560, 11170710, 11190670, 11190700, 11190710, 11190720]",ST000134
대림역,지하철,7호선,"[11170540, 11170550, 11170710, 11190700, 11190710, 11190720]","[11170540, 11170550, 11170560, 11170710, 11190670, 11190700, 11190710, 11190720]",ST000134
대모산입구역,지하철,수인분당선,"[11230511, 11230790, 11230800]","[11230511, 11230600, 11230720, 11230730, 11230790, 11230800]",ST000646
대방역,지하철,1호선,"[11190540, 11190630, 11190690, 11200680]","[11190540, 11190630, 11190690, 11190730, 11190740, 11200520, 11200680]",ST000408
대방역,지하철,신림선,"[11190540, 11190630, 11190690, 11200680]","[11190540, 11190630, 11190690, 11190730, 11190740, 11200520, 11200680]",ST000408
대성리역,지하철,경춘선,"[31130111, 31570320]","[31130111, 31570320]",ST000598
대야미역,지하철,4호선,"[31160630, 31160640]","[31160520, 31160630, 31160640]",ST000534
대야미역,지하철,안산과천선,"[31160630, 31160640]","[31160520, 31160630, 31160640]",ST000534
대야미역,지하철,안산선,"[31160630, 31160640]","[31160520, 31160630, 31160640]",ST000534
대청역,지하철,3호선,"[11230511, 11230730, 11230800]","[11230511, 11230720, 11230730, 11230750, 11230790, 11230800, 11240640, 11240710]",ST000175
대치역,지하철,3호선,"[11230600, 11230790, 11230800]","[11230511, 11230600, 11230630, 11230650, 11230670, 11230680, 11230790, 11230800]",ST000173
대화역,지하철,3호선,[31104570],"[31104560, 31104570, 31104580]",ST000446
대화역,지하철,일산선,[31104570],"[31104560, 31104570, 31104580]",ST000446
대흥역,지하철,6호선,"[11140590, 11140600, 11140610, 11140630]","[11130750, 11140590, 11140600, 11140610, 11140630, 11140660, 11140750, 11140760, 11140770, 11140780]",ST000257
덕계역,지하철,1호선,[31260540],"[31260540, 31260550]",ST000464
덕소역,일반철도,ITX-마음,"[31130110, 31130540, 31180620, 31180630]","[31130110, 31130540, 31180620, 31180630]",ST000640
덕소역,일반철도,ITX-새마을,"[31130110, 31130540, 31180620, 31180630]","[31130110, 31130540, 31180620, 31180630]",ST000640
덕소역,일반철도,무궁화,"[31130110, 31130540, 31180620, 31180630]","[31130110, 31130540, 31180620, 31180630]",ST000640
덕소역,준고속철도,KTX-이음,"[31130110, 31130540, 31180620, 31180630]","[31130110, 31130540, 31180620, 31180630]",ST000640
덕소역,지하철,경의중앙선,"[31130110, 31130540, 31180620, 31180630]","[31130110, 31130540, 31180620, 31180630]",ST000640
덕정역,지하철,1호선,"[31260530, 31260540, 31260550]","[31260530, 31260540, 31260550]",ST000463
도곡역,지하철,3호선,"[11230600, 11230670, 11230680, 11230800]","[11230600, 11230630, 11230650, 11230660, 11230670, 11230680, 11230710, 11230790, 11230800]",ST000172
