dong_code,dong_name,sido,sigungu,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,population_year,business_year
1108071,월곡1동,서울특별시,성북구,5014,15870,6441,5131,1087,2019,2019
1108072,월곡2동,서울특별시,성북구,2761,12319,4867,8819,1422,2019,2019
1108076,장위1동,서울특별시,성북구,2705,12415,5268,2068,716,2019,2019
1108077,장위2동,서울특별시,성북구,1561,7938,4233,3048,938,2019,2019
1108078,장위3동,서울특별시,성북구,3206,10592,3568,2188,454,2019,2019
1108081,성북동,서울특별시,성북구,2159,10745,4150,5246,1103,2019,2019
1108082,삼선동,서울특별시,성북구,3453,16247,5637,8778,1693,2019,2019
1108083,동선동,서울특별시,성북구,1649,10756,3020,9907,1981,2019,2019
1108084,종암동,서울특별시,성북구,6795,24326,9069,8428,1776,2019,2019
1108085,석관동,서울특별시,성북구,4527,21569,9474,9602,1779,2019,2019
1109060,번1동,서울특별시,강북구,1955,12343,4906,9468,1730,2019,2019
1109061,번2동,서울특별시,강북구,2003,9662,5302,3442,425,2019,2019
1109062,번3동,서울특별시,강북구,2560,9742,5863,2758,480,2019,2019
1109063,수유1동,서울특별시,강북구,2596,12970,6002,5161,1285,2019,2019
1109064,수유2동,서울특별시,강북구,2693,12804,6301,3584,1067,2019,2019
1109065,수유3동,서울특별시,강북구,2178,15224,6282,8988,2386,2019,2019
1109069,삼양동,서울특별시,강북구,3601,14911,6833,3262,812,2019,2019
1109070,미아동,서울특별시,강북구,2368,13823,6098,6657,1573,2019,2019
1109071,송중동,서울특별시,강북구,3807,18577,8165,8372,1878,2019,2019
1109072,송천동,서울특별시,강북구,3078,16659,8404,7758,1826,2019,2019
1109073,삼각산동,서울특별시,강북구,7425,19333,6009,2070,605,2019,2019
1109074,우이동,서울특별시,강북구,2699,12213,6335,4032,794,2019,2019
1109075,인수동,서울특별시,강북구,4117,18659,9454,5377,1178,2019,2019
1110051,쌍문1동,서울특별시,도봉구,3065,12983,6064,3540,622,2019,2019
1110052,쌍문2동,서울특별시,도봉구,2675,11783,5367,5325,1033,2019,2019
1110053,쌍문3동,서울특별시,도봉구,2044,10451,4591,4050,834,2019,2019
1110054,쌍문4동,서울특별시,도봉구,3476,11880,4410,1907,425,2019,2019
