dong_code,dong_name,station_count_준고속철도,행정동전체면적_m2,상업업무지역비율_pct,공공시설지역비율_pct,주거지역비율_pct,station_count_고속철도,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,아파트비율_퍼센트,station_count_지하철,station_count_일반철도
11060720,휘경1동,0,521804.76,9.06,0.0,65.01,0,1425,9274,3013,4043,1326,70.63,4,0
11060730,휘경2동,0,1113627.07,1.25,6.92,43.75,0,2811,15554,5799,5215,1197,64.92,3,0
11060800,청량리동,1,1204417.83,1.76,20.33,43.24,0,1544,9619,7579,7852,1796,63.34,4,3
11060810,용신동,1,1618425.76,10.8,1.87,57.5,0,3883,25161,9366,28958,6720,65.02,9,3
11060820,제기동,1,1181724.03,5.87,0.59,68.65,0,1962,13427,7625,11403,4980,40.15,7,3
11060830,전농1동,1,1126713.76,6.52,0.0,67.12,0,4034,19379,8744,7609,2708,55.62,6,3
11060840,전농2동,0,977583.58,1.3,0.0,38.29,0,2542,9914,5502,4972,1234,85.04,3,0
11060860,답십리2동,0,875759.26,7.86,0.0,66.4,0,3298,15810,8405,8740,2603,84.26,2,0
11060870,장안1동,0,1342189.45,12.6,1.52,52.31,0,4601,22705,10080,22014,5980,58.19,2,0
11060880,장안2동,0,996656.47,13.38,2.1,60.71,0,5336,19287,8069,11387,3477,61.59,0,0
11060890,이문1동,0,1039619.54,0.0,0.0,69.44,0,1697,11662,4405,6706,1503,46.15,5,0
11060900,이문2동,0,723901.66,1.5,16.87,43.13,0,2578,11081,5741,2188,916,77.4,2,0
11060910,답십리1동,1,788254.72,6.54,6.72,64.53,0,4187,17373,6283,9453,3471,81.92,6,3
11070520,면목2동,1,763134.02,6.9,0.0,60.27,0,2281,14007,7315,5735,2198,35.5,6,0
11070540,면목4동,0,843480.2,0.0,0.0,40.01,0,1945,10529,5681,5016,2463,52.11,2,0
11070550,면목5동,0,704947.41,13.28,0.0,39.79,0,2168,8723,3707,3117,1067,48.79,2,0
11070570,면목7동,0,1235495.07,1.32,0.0,35.36,0,2096,12443,6686,4536,1767,49.43,2,0
11070590,상봉1동,1,854232.74,6.45,6.31,47.79,0,3235,13510,6449,6508,1750,66.99,7,0
11070600,상봉2동,1,677456.3,23.37,4.29,44.35,0,1389,14225,4690,9495,3249,39.73,8,0
11070610,중화1동,1,641503.96,6.76,0.0,51.54,0,2064,10888,5754,3586,1391,36.93,6,0
11070620,중화2동,1,1016971.83,13.25,0.55,48.33,0,1853,14167,7833,6025,2237,13.51,7,0
11070640,묵1동,0,1238456.26,9.1,0.0,45.24,0,4659,19911,9130,6227,2120,60.58,6,0
11070650,묵2동,0,669214.47,6.92,0.08,50.32,0,1816,10723,5522,4536,1788,30.57,6,0
11070680,망우3동,0,962576.96,0.42,0.0,35.84,0,1424,8925,5310,3717,1309,1.55,0,0
11070690,신내1동,0,2606991.46,0.5,3.23,24.43,0,6093,20597,11076,15285,3047,87.59,7,1
11070700,신내2동,0,911296.04,1.55,1.49,33.64,0,2438,10939,6310,6553,1594,99.85,3,0
11070710,면목본동,1,849032.56,9.76,0.0,73.14,0,2819,20438,9534,7104,3015,12.3,5,0
11070720,면목3·8동,0,1614802.35,2.25,0.64,32.2,0,2142,14415,7835,7438,2413,32.44,2,0
11070730,망우본동,0,2948157.11,1.83,0.56,25.49,0,4652,21288,10521,12164,3913,60.39,5,1
11080580,돈암1동,0,489303.57,0.07,1.68,51.49,0,1739,8136,4390,2164,625,92.68,1,0
11080590,돈암2동,0,518516.7,0.0,2.14,76.53,0,4249,13659,5518,2852,940,94.46,4,0
11080600,안암동,0,1379593.47,0.11,2.46,30.6,0,1093,10841,2981,14041,1839,35.17,9,0
11080610,보문동,0,553015.27,6.27,0.0,67.76,0,1935,10426,3809,5597,1587,60.1,10,0
11080620,정릉1동,0,411972.1,0.0,0.22,82.84,0,2847,10338,4592,2333,1084,78.01,3,0
11080630,정릉2동,0,1094907.52,0.0,0.0,51.37,0,2836,13028,6685,3403,1332,38.21,2,0
11080640,정릉3동,0,3327180.65,1.59,0.0,20.26,0,1345,9013,4577,5881,896,13.49,1,0
11080650,정릉4동,0,3570972.76,1.09,0.0,17.28,0,3161,13748,7118,5112,1474,56.91,2,0
11080660,길음1동,0,797325.9,2.43,2.98,77.25,0,7905,20125,6722,4178,1576,96.76,2,0
11080680,길음2동,0,588011.39,20.89,0.0,63.99,0,4068,12929,4682,5598,1539,93.36,2,0
11080710,월곡1동,0,801770.14,4.91,3.78,67.34,0,4028,14516,7035,5543,1668,74.75,2,0
11080720,월곡2동,0,1364923.18,1.81,11.78,36.06,0,2134,11495,5280,10384,1938,59.32,3,0
11080760,장위1동,0,708557.66,0.0,0.0,85.63,0,3197,13789,6385,3227,1481,23.16,0,0
11080770,장위2동,0,679904.93,4.03,0.0,79.43,0,1255,7448,4416,3532,1360,8.98,2,0
11080780,장위3동,0,652611.89,2.06,0.0,77.47,0,2783,9344,3400,2000,754,85.19,3,0
11080810,성북동,0,2879959.41,1.06,0.68,42.76,0,1678,9981,4266,7480,1764,10.83,3,0
11080820,삼선동,0,926242.04,6.93,1.7,61.55,0,2474,14047,5677,10727,2472,44.49,7,0
11080830,동선동,0,724795.74,4.62,0.1,54.78,0,1238,10766,3002,10928,2601,26.28,5,0
11080840,종암동,0,1404550.54,4.9,0.8,54.4,0,5501,22123,10059,8511,2698,65.65,3,0
11080850,석관동,0,1705088.72,0.61,6.2,46.15,0,3633,19439,10718,9303,2576,45.55,7,0
11090600,번1동,0,627046.16,6.78,0.0,72.24,0,1341,10779,5254,9154,2252,24.88,2,0
11090610,번2동,0,974313.64,3.53,0.0,42.45,0,1331,7875,5669,3306,717,39.8,1,0
11090620,번3동,0,1081194.33,3.81,0.0,24.01,0,1794,8200,6360,2933,832,94.81,0,0
11090630,수유1동,0,1649989.82,3.76,0.0,32.38,0,1918,11372,6570,5823,1753,10.14,3,0
11090640,수유2동,0,581626.13,9.47,0.0,78.79,0,2065,11202,7255,4118,1659,36.42,2,0
11090650,수유3동,0,745657.28,11.08,0.0,71.74,0,1594,14392,7009,8885,2992,15.97,3,0
11090690,삼양동,0,924107.03,2.71,0.0,69.59,0,2574,12641,7193,3522,1301,39.32,4,0
11090700,미아동,0,841218.37,8.06,0.73,54.93,0,1701,12396,6756,6790,2088,17.62,4,0
11090710,송중동,0,1075813.38,3.99,2.64,67.26,0,3127,16570,8926,8670,2670,35.53,2,0
11090720,송천동,0,929928.26,5.94,0.84,73.55,0,2087,13633,9035,6849,2304,18.23,4,0
11090730,삼각산동,0,621921.15,0.0,0.0,92.24,0,6041,17641,6924,3210,1465,99.29,2,0
11090740,우이동,0,10587928.05,0.54,0.84,6.87,0,2069,10840,6906,5267,1385,12.72,4,0
11090750,인수동,0,2998060.8,2.14,2.79,29.96,0,3074,15778,10221,6251,1932,7.74,3,0
11100510,쌍문1동,0,1175793.51,2.8,0.88,50.77,0,2289,11569,6785,4217,1118,28.13,3,0
11100520,쌍문2동,0,541201.52,13.36,0.0,72.09,0,1922,10071,5917,4733,1370,44.36,1,0
11100530,쌍문3동,0,504813.81,9.25,5.38,65.93,0,1590,9766,5096,4645,1227,37.04,1,0
11100540,쌍문4동,0,554876.65,0.0,0.0,52.74,0,2733,10152,5174,1992,796,88.59,1,0
11100550,방학1동,0,1040874.09,6.22,0.0,43.81,0,3236,15430,9089,13212,2545,54.32,1,0
11100560,방학2동,0,1092832.29,0.0,0.0,47.54,0,1901,9974,6670,3233,1292,4.49,1,0
11100570,방학3동,0,1951057.98,0.97,0.0,28.04,0,4026,13778,8278,2995,1125,95.51,2,0
11100590,창1동,0,1122189.71,3.58,2.38,43.08,0,3064,13906,7072,3287,1383,80.91,4,0
11100600,창2동,0,654452.82,4.21,0.0,62.36,0,3397,16574,8212,4298,1667,33.77,1,0
11100610,창3동,0,655496.18,0.0,0.0,54.04,0,1413,7335,4445,2107,1028,28.69,0,0
11100620,창4동,0,1140194.42,11.18,8.24,36.19,0,3711,15405,7057,8554,1779,99.16,3,0
11100630,창5동,0,701487.72,10.62,0.0,49.21,0,2882,14012,6987,7116,1847,79.97,3,0
11100640,도봉1동,0,8451608.1,0.96,0.39,8.83,0,1629,10215,8202,7132,1767,15.78,4,0
11100650,도봉2동,0,1119049.45,4.22,9.12,41.17,0,2821,13636,9527,7747,1681,90.28,5,0
11110510,월계1동,0,1141604.81,5.49,0.0,42.88,0,2382,12130,6039,6394,1588,61.21,6,0
11110520,월계2동,0,2004817.61,2.61,0.0,27.84,0,3246,13638,8607,3696,988,94.61,2,0
11110530,월계3동,0,1134176.52,0.0,0.01,44.06,0,3605,16109,9004,4438,1148,99.35,9,0
11110560,공릉2동,0,6983547.66,1.78,20.16,10.98,0,7058,25309,9099,12302,2402,84.94,4,0
11110580,하계1동,0,1527085.8,3.51,4.17,31.81,0,3724,15333,7083,8724,1468,88.61,1,0
11110590,하계2동,0,500031.86,0.0,0.0,61.1,0,3682,12345,5283,1545,719,100.0,2,0
11110600,중계본동,0,2183269.89,1.33,0.76,29.37,0,5337,13457,4272,6001,1547,81.99,0,0
11110610,중계1동,0,623460.83,8.02,2.34,55.69,0,6898,15285,4143,4220,1273,99.93,0,0
11110640,중계4동,0,1519296.26,4.12,0.0,16.81,0,2801,10573,5745,4143,1279,94.99,1,0
11110650,상계1동,0,5402703.05,0.71,0.5,13.81,0,4727,20735,11382,9184,2603,80.94,3,0
11110660,상계2동,0,623135.79,22.89,0.0,55.96,0,2262,11292,5548,10794,3198,64.89,3,0
11110690,상계5동,0,906905.94,3.04,0.1,45.94,0,2537,12852,7623,5867,2527,55.68,3,0
11110720,상계8동,0,666359.13,1.96,4.82,57.38,0,3642,13791,4410,2054,733,100.0,2,0
11110730,상계9동,0,719457.06,2.73,0.18,48.84,0,2761,11547,5357,2626,841,100.0,1,0
11110740,상계10동,0,809227.78,13.31,2.52,35.19,0,2697,11122,4366,2382,665,100.0,3,0
11110760,상계3·4동,0,5211971.8,2.02,0.0,14.25,0,3585,14837,9069,5383,1713,63.24,3,0
11110770,상계6·7동,0,1450319.22,8.13,12.37,36.24,0,4529,19015,7856,15738,2525,100.0,5,0
11110780,중계2·3동,0,919098.32,4.26,3.58,48.51,0,4195,17844,10461,5458,1758,99.58,3,0
11110790,공릉1동,0,1263281.38,13.16,1.07,45.63,0,3929,21951,10104,13451,3539,67.48,6,0
11120510,녹번동,0,1794244.69,1.23,5.4,44.01,0,4215,21361,10535,10719,2606,40.8,4,0
11120520,불광1동,0,3124978.64,0.76,2.21,29.38,0,4221,21613,11605,6853,2257,55.51,5,0
11120550,갈현1동,0,961087.28,7.23,0.0,58.06,0,1417,8626,4439,4635,1574,19.98,2,0
11120560,갈현2동,0,985181.66,5.47,0.84,58.05,0,3291,16408,7742,6370,2117,16.3,3,0
11120570,구산동,0,1389798.06,2.71,0.14,49.42,0,3817,18214,9422,6221,1733,27.3,1,0
11120580,대조동,0,851706.63,8.23,0.0,72.23,0,2348,17650,7371,7897,3175,32.57,6,0
11120590,응암1동,0,1109881.13,5.68,3.54,49.97,0,4868,19951,7839,8179,2515,58.12,3,0
11120600,응암2동,0,755259.48,0.0,2.11,74.89,0,5323,16139,5882,2969,1257,81.77,2,0
11120650,신사1동,0,808326.97,0.0,0.0,67.8,0,2997,15674,7801,5376,1735,31.87,2,0
11120660,신사2동,0,1046239.37,0.0,0.0,57.53,0,2189,10978,5767,3442,1146,37.29,1,0
11120670,증산동,0,807742.44,3.3,0.0,60.54,0,2404,10657,5197,4121,1234,56.01,6,0
11120680,수색동,0,1289959.17,6.68,0.0,38.83,0,3210,12695,4536,2820,755,90.07,4,0
11120710,진관동,0,11565506.04,1.02,0.52,13.54,0,10417,31126,12839,13796,3028,96.92,2,0
11120720,불광2동,0,1396112.11,1.24,0.86,49.71,0,2246,15607,8885,4616,1734,10.49,3,0
11120730,응암3동,0,752785.25,4.28,0.0,72.52,0,1975,13444,8025,5664,2203,14.83,3,0
11120740,역촌동,0,1157561.37,2.63,1.0,78.51,0,4875,26083,12846,8363,3172,12.82,3,0
11130520,천연동,0,982832.72,2.67,12.24,35.11,0,2274,9566,4746,3110,1068,85.34,2,0
11130620,홍제1동,0,1235652.51,0.0,0.0,45.28,0,3208,14494,7000,4828,1478,65.87,2,0
11130640,홍제3동,0,1192527.84,0.87,0.0,41.37,0,2105,10072,5513,4003,1415,59.17,1,0
11130650,홍제2동,0,699989.18,0.0,0.0,37.2,0,1524,7519,4140,1994,760,82.34,2,0
11130660,홍은1동,0,1615166.85,1.37,0.0,36.68,0,2754,12700,6722,2738,1227,72.92,2,0
11130680,홍은2동,0,2075118.74,2.81,2.15,36.46,0,3667,16974,7883,6424,1941,35.24,2,0
11130690,남가좌1동,0,475544.18,7.54,0.0,69.69,0,3809,9586,3299,2825,926,97.58,1,0
11130700,남가좌2동,0,783810.91,1.7,0.0,75.95,0,4682,17371,7028,5530,1785,67.39,0,0
11130710,북가좌1동,0,577988.94,2.31,0.0,71.41,0,3067,9973,4528,3269,877,79.09,4,0
11130720,북가좌2동,0,824857.15,2.53,0.0,78.31,0,3322,17908,9444,4951,2042,18.77,2,0
11130730,충현동,0,1116019.72,16.62,1.73,47.94,0,2308,12313,5061,23250,2540,48.4,5,0
11130740,북아현동,0,458952.09,8.9,0.0,63.99,0,2248,9743,3450,2760,1017,79.37,5,0
11130750,신촌동,0,2720327.74,5.94,0.0,20.73,0,1345,15940,2955,36521,4969,28.93,7,0
11130760,연희동,0,2929301.07,2.7,0.18,46.57,0,3333,22326,8331,12974,3139,29.98,4,0
11140590,용강동,0,790614.56,12.49,2.23,45.9,0,4036,12837,4373,18811,3282,83.56,6,0
11140600,대흥동,0,848212.58,6.63,0.0,40.46,0,1412,10124,2875,9443,1910,57.2,5,0
11140610,염리동,0,501840.02,5.58,2.52,65.88,0,2971,10779,3091,5196,1025,72.82,9,0
11140630,신수동,0,797892.61,0.0,2.76,64.74,0,3232,13945,4915,6817,2068,69.9,4,0
11140660,서교동,0,1679006.65,12.82,0.0,62.66,0,1637,17804,4620,65165,12668,29.96,9,0
