dong_code,dong_name,station_count_준고속철도,행정동전체면적_m2,상업업무지역비율_pct,공공시설지역비율_pct,주거지역비율_pct,station_count_고속철도,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,아파트비율_퍼센트,station_count_지하철,station_count_일반철도,worker_density,business_density,station_density_지하철,기타지역비율_pct
11040540,마장동,0,1035292.65,10.84,5.95,55.88,0,2387,13279,5907,12105,3557,63.24,7,0,0.01169234612057091,0.0034357435068872967,6.761373221313207e-06,27.33
11040550,사근동,0,1169235.04,0.12,1.24,32.29,0,987,8867,2093,11029,1205,40.19,9,0,0.009432662914297943,0.0010305883408948248,7.697340305438525e-06,66.35
11040560,행당1동,0,573574.98,3.7,2.73,74.11,0,1828,8626,3231,9568,1543,80.32,9,0,0.016681341295314497,0.0026901452360650366,1.5691061001027434e-05,19.460000000000008
11040570,행당2동,0,457676.35,0.0,0.0,75.43,0,3435,13558,5858,2131,930,95.74,8,0,0.004656128724924149,0.0020320036199809755,1.7479601032094414e-05,24.569999999999993
11040580,응봉동,0,553593.41,0.0,0.0,51.48,0,2460,8812,3669,1006,553,73.28,2,0,0.0018172181637455328,0.0009989280760947113,3.6127597688777986e-06,48.52
11040590,금호1가동,0,445441.26,0.0,0.0,70.23,0,2104,8632,4009,2109,870,85.05,3,0,0.004734631003766139,0.0019531194752378097,6.7348947421993436e-06,29.769999999999996
11040620,금호4가동,0,831854.66,0.0,0.0,37.31,0,2115,8371,3668,2271,943,85.6,4,0,0.0027300442122578233,0.0011336114892818703,4.80853229812034e-06,62.69
11040650,성수1가1동,0,1885905.37,0.0,23.91,26.47,0,1721,9794,3877,15977,2863,69.16,4,0,0.008471793046495901,0.0015181037423870418,2.1209971950919202e-06,49.620000000000005
11040660,성수1가2동,0,930100.68,1.17,0.51,42.43,0,1339,7648,2956,28072,4557,66.72,4,0,0.030181678826101045,0.00489946959285204,4.300609693089348e-06,55.89
11040670,성수2가1동,0,1184983.65,3.02,5.78,31.33,0,1299,8743,4563,17452,3164,46.49,1,0,0.014727629364213358,0.0026700790344012758,8.438935001268254e-07,59.870000000000005
11040680,성수2가3동,0,1054518.46,26.1,0.0,24.71,0,944,6387,2716,62482,7704,67.17,3,0,0.059251689154315494,0.007305704254742911,2.844900410725433e-06,49.19
